Mininum Longitude,Minimum Latitude,Maximum Longitude,Maximum Latitude,Percent Vegetation Loss,Percent Bare Initial,Percent Significant VH Values,Average NIR/G,Average SWIR1/B,NASA Elev,GEDI Elev,Elev Loss,GEDI Qual. Flag,B5 Value,B6 Value,Status
-115.55374018551686,34.977907027432785,-115.55341078943407,34.97817691907336,0,99.66309528264904,63.108178538743644,0.2592052491747144,0.4043493855334778,1237.9003215434084,-999,-999,-999,0.19105707099391717,0.20987299190073533,Pass
-115.55341078943407,34.977907027432785,-115.55308139335128,34.97817691907336,0,99.6630952906283,80.40681952335265,0.2822885817982901,0.4505973892980019,1250.916398713826,-999,-999,-999,0.19698220777970094,0.22153285012031212,Pass
-115.55308139335128,34.977907027432785,-115.55275199726849,34.97817691907336,0,96.10369902369152,0.3203458366840202,0.29618497851762665,0.468178155930284,1262.2096774193549,-999,-999,-999,0.23444823671575526,0.2592678409776503,Fail
-115.55275199726849,34.977907027432785,-115.5524226011857,34.97817691907336,0,99.66309528223516,0,0.2900578861204064,0.48970683374665536,1273.7692307692307,-999,-999,-999,0.24523086615889017,0.26874260216280577,Fail
-115.5524226011857,34.977907027432785,-115.5520932051029,34.97817691907336,0,99.66309528216408,12.813874924796497,0.27961373324894434,0.48691164126335595,1280.4615384615383,-999,-999,-999,0.22778778151875526,0.2512081951573731,Pass
-115.5520932051029,34.977907027432785,-115.55176380902012,34.97817691907336,0,99.663095289801,78.80515252564359,0.2761719355760741,0.45607371936764624,1285.349358974359,-999,-999,-999,0.19207211622060874,0.21453332719512475,Pass
-115.55176380902012,34.977907027432785,-115.55143441293733,34.97817691907336,0,99.66309528247425,79.76612680697349,0.29034567269729955,0.48977524396487165,1296.576923076923,-999,-999,-999,0.16352161342097868,0.18535967281749172,Pass
-115.55143441293733,34.977907027432785,-115.55110501685454,34.97817691907336,0,96.10369902315618,93.22069444235765,0.27137027587094487,0.4909439682420434,1315.8580645161287,-999,-999,-999,0.15720980473078333,0.18042154624531126,Pass
-115.55110501685454,34.977907027432785,-115.55077562077174,34.97817691907336,0,99.66309528990219,76.24230913544339,0.24937366235618644,0.4577297367342995,1333.8778135048233,-999,-999,-999,0.17244471060350916,0.19183477788017342,Pass
-115.55077562077174,34.977907027432785,-115.55044622468895,34.97817691907336,0,99.66309527944091,75.92196329077059,0.23284558724617585,0.4223497293052171,1347.2861736334403,-999,-999,-999,0.21836607594198737,0.2361126956065751,Pass
-115.55044622468895,34.977907027432785,-115.55011682860616,34.97817691907336,0,96.1036990221903,14.095216813876712,0.24386404292338099,0.42694896719245523,1361.2475884244373,-999,-999,-999,0.25386817250221105,0.2736744353625552,Pass
-115.55011682860616,34.977907027432785,-115.54978743252337,34.97817691907336,0,99.66309528814816,0,0.24569378233825104,0.43747800604652937,1377.6709677419356,1348.6375732421875,8.180419921875,1,0.23448713674805935,0.2547566002396525,Fail
-115.54978743252337,34.977907027432785,-115.54945803644058,34.97817691907336,0,99.66309528288988,0,0.22346337893691193,0.4131517362574965,1394.548076923077,-999,-999,-999,0.22582042188506418,0.23995305664861322,Fail
-115.54945803644058,34.977907027432785,-115.5491286403578,34.97817691907336,0,96.10369902209224,0,0.2291350705812652,0.43098713147955714,1410.8333333333333,-999,-999,-999,0.21276189746197402,0.2314488717693225,Fail
-115.5491286403578,34.977907027432785,-115.548799244275,34.97817691907336,0,99.6630952811691,0,0.22785726288858185,0.4198485958046045,1426.1153846153848,-999,-999,-999,0.23645448713348458,0.2502407043790206,Fail
-115.548799244275,34.977907027432785,-115.54846984819221,34.97817691907336,0,96.10369903024069,0,0.2333728525704209,0.41579025624282284,1439.7307692307693,-999,-999,-999,0.24832581026900202,0.261702416020055,Fail
-115.54846984819221,34.977907027432785,-115.54814045210942,34.97817691907336,0,99.66309528218312,0,0.24501803603385075,0.422496227992811,1454.0741935483868,-999,-999,-999,0.24377748997840082,0.2650221890000285,Fail
