Mininum Longitude,Minimum Latitude,Maximum Longitude,Maximum Latitude,Percent Vegetation Loss,Percent Bare Initial,Percent Significant VH Values,Average NIR/G,Average SWIR1/B,NASA Elev,GEDI Elev,Elev Loss,GEDI Qual. Flag,B5 Value,B6 Value,Status
-115.42772957991104,35.335209828007336,-115.42497184295758,35.33745902259608,0,99.89682172760654,100.05044619405747,0.2521954206618089,0.5101668425937035,1007.3882687979414,-999,-999,-999,0.2816528613039721,0.2971293668510268,Pass
-115.4139408951437,35.335209828007336,-115.41118315819023,35.33745902259608,0,99.89682172674036,100.05044619318998,0.2625257842162016,0.5292553777853028,985.5371331465577,-999,-999,-999,0.2967599929651083,0.31460953642778255,Pass
-115.386363525609,35.335209828007336,-115.38360578865553,35.33745902259608,0,99.89682172765025,100.0183036590964,0.2677909154212057,0.5390720755376935,967.7627289839761,-999,-999,-999,0.30125162017327894,0.32338612188365573,Pass
-115.38360578865553,35.335209828007336,-115.38084805170206,35.33745902259608,0,99.89682005645884,100.01371192863205,0.26421495373942044,0.5375939027252798,969.1708078813203,-999,-999,-999,0.2950051117548681,0.3166231562390611,Pass
-115.37533257779512,35.335209828007336,-115.37257484084165,35.33745902259608,0,99.89682172731221,100.04585434287358,0.26787734955538367,0.5400215446151938,975.4631177659373,-999,-999,-999,0.2807439790940489,0.3003736272788013,Pass
-115.36430162998124,35.335209828007336,-115.36154389302777,35.33745902259608,0,99.84580091190688,100.01830365805755,0.2389097184613529,0.5039690107988062,991.6676308539946,-999,-999,-999,0.2874469774114276,0.3021936260609135,Pass
-115.40842542123676,35.332960633418594,-115.40566768428329,35.335209828007336,0,99.99890999205131,100.0090668215563,0.2661829765399243,0.5455219507005907,983.2187342236919,-999,-999,-999,0.29806578008131357,0.3152045729157027,Pass
-115.3312087865396,35.332960633418594,-115.32845104958614,35.335209828007336,0,100.04993049984382,99.97692424011116,0.23681917208897615,0.4966868275563398,1062.545437855701,-999,-999,-999,0.2710641640296339,0.2852915234708746,Pass
-115.32845104958614,35.332960633418594,-115.32569331263267,35.335209828007336,0,99.99891054916907,100.00906682165491,0.21557442678141725,0.46117476552879433,1067.2251400238729,-999,-999,-999,0.28989985965336007,0.30406843995259836,Pass
-115.4222141060041,35.33071143882985,-115.41945636905064,35.332960633418594,0,99.89672476263047,99.99983290791057,0.25231352034606996,0.5048256641189525,1007.7762716537242,-999,-999,-999,0.28627747227221845,0.3037655314175548,Pass
-115.38084805170206,35.33071143882985,-115.37809031474859,35.332960633418594,0,99.89672476246383,99.99983290774374,0.27030374532800844,0.5332826899526726,986.5511695234599,-999,-999,-999,0.29644243717768365,0.3192094773374344,Pass
-115.37809031474859,35.33071143882985,-115.37533257779512,35.332960633418594,0,99.89672476340301,99.97228220862614,0.26588334570255484,0.528068438516281,989.5649517684899,-999,-999,-999,0.2989104908851499,0.32082065955918687,Pass
-115.36981710388818,35.33071143882985,-115.36705936693471,35.332960633418594,0,99.8967230925429,99.96309864247377,0.2612596161948601,0.531405839282377,1000.8004595588237,-999,-999,-999,0.28518470848816835,0.30195909993030867,Pass
-115.42772957991104,35.32846224424111,-115.42497184295758,35.33071143882985,0,99.99880988468243,100.00897006352723,0.2545974799549967,0.5103223302756295,1020.1595813056657,-999,-999,-999,0.28220215339497556,0.2979520525937239,Pass
-115.40290994732982,35.32846224424111,-115.40015221037635,35.33071143882985,0,99.99880988481166,98.9299147158694,0.2667756378279408,0.5253988811439666,987.5538828713056,-999,-999,-999,0.2790261385993593,0.3003597990255323,Pass
-115.37257484084165,35.32846224424111,-115.36981710388818,35.33071143882985,0,100.049830338044,99.96764401309007,0.2685195056998169,0.5336908275637589,1005.2885859837538,-999,-999,-999,0.29020089470799754,0.30916125694521923,Pass
-115.36430162998124,35.32846224424111,-115.36154389302777,35.33071143882985,0,100.04983033801132,99.9768275797434,0.25663100131343186,0.5257334264997101,1019.1122177345336,-999,-999,-999,0.27707125807927596,0.2932293321910804,Pass
-115.3229355756792,35.32846224424111,-115.32017783872573,35.33071143882985,0,100.04983033811294,99.9355015303317,0.2515013030762482,0.5117401493936335,1095.0123496464971,-999,-999,-999,0.2584044567047948,0.2738170619520649,Pass
-115.41669863209717,35.32621304965237,-115.4139408951437,35.32846224424111,0,99.74356798001688,100.0181007930167,0.26079908119298806,0.5413569118854131,1008.7882504248782,-999,-999,-999,0.2901542775490955,0.30661136991321386,Pass
-115.4139408951437,35.32621304965237,-115.41118315819023,35.32846224424111,0,99.94764745984007,100.05024322300066,0.269474148917435,0.5482509807503689,1004.6184264915267,818.0660516047382,-156.42608282385595,0.5916334661354582,0.2895445850669197,0.3084893140864409,Pass
-115.41118315819023,35.32621304965237,-115.40842542123676,35.32846224424111,0,99.89662842608698,100.01810079310947,0.2802137314689454,0.5515967004927183,1000.5228890215352,930.0312141309983,-41.03797225590565,0.7630331753554502,0.28743142923801124,0.3089036372490314,Pass
-115.40842542123676,35.32621304965237,-115.40566768428329,35.32846224424111,0,99.8966284261035,100.05024322397898,0.27616356381065943,0.5429135356055315,998.1630469718546,-999,-999,-999,0.28344718908668914,0.30515856269255137,Pass
-115.37533257779512,35.32621304965237,-115.37257484084165,35.32846224424111,0,99.89662842600626,100.05024322388157,0.2650705061626103,0.5252678185747849,1009.2596454161312,-999,-999,-999,0.29867492306171733,0.32035040849115987,Pass
-115.33948199740001,35.32621304965237,-115.33672426044654,35.32846224424111,0,99.79458868470068,100.01350907623403,0.252382468700391,0.5229930913110697,1064.1678222140602,-999,-999,-999,0.2523144472045438,0.26730768930473625,Pass
-115.43048731686451,35.323963855063624,-115.42772957991104,35.32621304965237,0,100.04973080431627,99.91703227179056,0.2553803256765313,0.5115823098584829,1034.6226345765203,-999,-999,-999,0.27502581309664104,0.29090975210043213,Pass
-115.41118315819023,35.323963855063624,-115.40842542123676,35.32621304965237,0,100.0497308050367,98.75990286122362,0.28144655291117643,0.5486865122558456,1007.5168503213954,-999,-999,-999,0.2829516988814395,0.30521602138013504,Pass
-115.36981710388818,35.323963855063624,-115.36705936693471,35.32621304965237,0,99.99871040508764,99.93080766806818,0.2685869654374878,0.5309569439786906,1027.3351860358282,-999,-999,-999,0.2836684969461002,0.30297624441908316,Pass
-115.3587861560743,35.323963855063624,-115.35602841912083,35.32621304965237,0,100.04973080525319,99.91703227272617,0.25679366243714546,0.5157569355780317,1044.4514514054742,-999,-999,-999,0.28839013409828207,0.3054138611769302,Pass
-115.41118315819023,35.32171466047488,-115.40842542123676,35.323963855063624,0,99.89653271476163,100.01800452598755,0.2702108251116832,0.5401332904253353,1011.1545805030295,-999,-999,-999,0.2829194058907086,0.3022213750112244,Pass
-115.39463673646941,35.32171466047488,-115.39187899951594,35.323963855063624,0,99.8965327149844,99.98586209510574,0.25514730289925125,0.5102547672155879,1006.1983569691126,-999,-999,-999,0.29203614202213607,0.31320443485826077,Pass
-115.33396652349307,35.32171466047488,-115.3312087865396,35.323963855063624,0,99.89653271490474,85.84321208163452,0.23962889841188592,0.48995683381323263,1094.6979936642024,-999,-999,-999,0.25428045223574247,0.2687071746689521,Pass
-115.3229355756792,35.32171466047488,-115.32017783872573,35.323963855063624,0,99.84551206234464,99.9812702580583,0.26407005088287766,0.5093151294694458,1120.526030667523,-999,-999,-999,0.26342259514353167,0.28180339855383246,Pass
