system:index,latitude,longitude,.geo
00000000000000001264,3.1283168465,29.9196263192,"{""type"":""Point"",""coordinates"":[29.919627198299565,3.1283180168533833]}"
00000000000000001265,3.1412874862,29.9178466315,"{""type"":""Point"",""coordinates"":[29.917848016979242,3.141289541817857]}"
00000000000000001268,3.1746077344,29.9470450388,"{""type"":""Point"",""coordinates"":[29.947046210677208,3.1746079448892055]}"
00000000000000001269,3.1674432437,29.9469348559,"{""type"":""Point"",""coordinates"":[29.946934733150865,3.167442169496318]}"
0000000000000000126a,3.1389210817,29.9559415926,"{""type"":""Point"",""coordinates"":[29.95594211727883,3.1389217591584773]}"
0000000000000000126b,3.0493581575,29.9325684012,"{""type"":""Point"",""coordinates"":[29.932567509556666,3.0493562553989637]}"
0000000000000000126e,3.1216382753,29.9714782458,"{""type"":""Point"",""coordinates"":[29.971477625349035,3.121638283475322]}"
00000000000000001270,3.1457536546,29.9520239786,"{""type"":""Point"",""coordinates"":[29.95202256745285,3.145753101972357]}"
00000000000000001279,3.1515163287,29.7828854296,"{""type"":""Point"",""coordinates"":[29.782884405394597,3.1515142605334088]}"
0000000000000000127a,3.1509838747,29.7792611827,"{""type"":""Point"",""coordinates"":[29.779259156238147,3.150983627508049]}"
0000000000000000127b,3.1502616893,29.7756184462,"{""type"":""Point"",""coordinates"":[29.775620529778532,3.15026125313739]}"
0000000000000000127c,3.1507423651,29.6892795583,"{""type"":""Point"",""coordinates"":[29.68927895608066,3.150742836051163]}"
0000000000000000127d,3.1327929236,29.8431626891,"{""type"":""Point"",""coordinates"":[29.843162533435077,3.132794954311043]}"
0000000000000000127e,3.1413594363,29.7862655088,"{""type"":""Point"",""coordinates"":[29.786264403993112,3.141360887434712]}"
0000000000000000127f,3.137290513,29.7872255857,"{""type"":""Point"",""coordinates"":[29.78722756982065,3.137289728172917]}"
00000000000000001280,3.1503601202,29.7860826628,"{""type"":""Point"",""coordinates"":[29.786081580849917,3.1503593533605665]}"
00000000000000001282,3.0525333333,29.9749,"{""type"":""Point"",""coordinates"":[29.97490221495808,3.052531135349018]}"
00000000000000001283,3.1339333333,29.7879666667,"{""type"":""Point"",""coordinates"":[29.78796778059552,3.1339320250796723]}"
00000000000000001284,3.1288,29.0026833333,"{""type"":""Point"",""coordinates"":[29.002684412275276,3.128799599767156]}"
00000000000000001285,3.1357833333,29.6416833333,"{""type"":""Point"",""coordinates"":[29.64168251143617,3.135782552016852]}"
00000000000000001286,3.1430833333,29.7771333333,"{""type"":""Point"",""coordinates"":[29.77713216503565,3.143082100441343]}"
00000000000000001287,3.1509333333,29.7451333333,"{""type"":""Point"",""coordinates"":[29.745133655876124,3.1509345773964603]}"
00000000000000001288,3.1339666667,29.7879166667,"{""type"":""Point"",""coordinates"":[29.78791873048393,3.1339676978881]}"
00000000000000001289,3.3828,29.35475,"{""type"":""Point"",""coordinates"":[29.354748276849044,3.3827989139735397]}"
0000000000000000128a,3.37225,29.3928666667,"{""type"":""Point"",""coordinates"":[29.3928646726539,3.372248680881087]}"
0000000000000000128b,3.3760833333,29.3913666667,"{""type"":""Point"",""coordinates"":[29.39136641469994,3.3760835077870497]}"
0000000000000000128c,3.3749,29.4152666667,"{""type"":""Point"",""coordinates"":[29.415267196346413,3.3749018460078872]}"
0000000000000000128d,3.3774833333,29.4323166667,"{""type"":""Point"",""coordinates"":[29.43231879877479,3.377483665517832]}"
0000000000000000128e,3.3828166667,29.4356666667,"{""type"":""Point"",""coordinates"":[29.43566758366592,3.3828167503777533]}"
0000000000000000128f,3.4167833333,29.4201833333,"{""type"":""Point"",""coordinates"":[29.420181125707305,3.416781723101851]}"
