Mininum Longitude,Minimum Latitude,Maximum Longitude,Maximum Latitude,Percent Vegetation Loss,Percent Bare Initial,Percent Significant VH Values,Average NIR/G,Average SWIR1/B,NASA Elev,GEDI Elev,Elev Loss,GEDI Qual. Flag,B5 Value,B6 Value,Center Lon,Center Lat,Elevation Score,Band Variation Score,Status
-114.93217508352781,35.99100322164358,-114.92939436262533,35.993252416232686,0.0,99.99643835492586,33.80328406575759,0.1825032796486314,0.3414745482737346,684.8869093725795,688.4527492656146,30.520922229756618,0.2734584450402145,0.2315533765877348,0.23942024454948227,-114.93078472307657,35.99212781893813,5.0,5.0,Pass
-114.96554373435755,35.98425563787627,-114.96276301345507,35.98650483246537,0.0,99.89518556780656,49.721335659712906,0.24592619694128337,0.3603974811608591,731.6782604731736,6082.0107421875,5383.8050537109375,-999.0,0.23984835810356164,0.25962854480794445,-114.96415337390631,35.98538023517082,5.0,5.0,Pass
-114.94329796713772,35.964012886574324,-114.94051724623525,35.96626208116343,100.0,99.99584881612576,25.231863566243867,0.22650701456903016,0.3863470573006794,942.0311546344795,5828.040757763939,4935.742851860192,0.24318801089918254,0.21184288702923504,0.21849791069896066,-114.94190760668648,35.96513748386887,3.0,0.0,Pass
-114.9460786880402,35.96176369198522,-114.94329796713772,35.964012886574324,100.0,100.04649445795476,34.3089662657776,0.21327966810426133,0.3705527863316708,956.6713108409596,4010.246455179266,3102.217567475141,0.492616899097621,0.2438423646607594,0.24955121370042174,-114.94468832758896,35.962888289279775,3.0,0.0,Pass
-114.94329796713772,35.96176369198522,-114.94051724623525,35.964012886574324,100.0,93.0122786216501,45.485452665652744,0.22995969207386496,0.37358084011462056,1069.480597558754,2114.6100533194426,1074.055183665524,0.8485523385300668,0.20044167725101783,0.2080873024038293,-114.94190760668648,35.962888289279775,1.0,0.0,Pass
-114.9460786880402,35.959514497396114,-114.94329796713772,35.96176369198522,97.27266211243045,99.43908530131036,75.83636648211119,0.21520390099271425,0.35127160383736644,1033.863417076279,-999.0,-999.0,-999.0,0.23494267290593907,0.24308187786649046,-114.94468832758896,35.96063909469066,4.0,0.0,Pass
-114.94329796713772,35.959514497396114,-114.94051724623525,35.96176369198522,99.09907913014675,93.97381769968555,30.774464488850523,0.23394729726430863,0.397762093329775,1147.1715001138182,1136.511605132757,16.574814791247785,0.8830425299890949,0.18829631481741327,0.19474070595156998,-114.94190760668648,35.96063909469066,1.0,0.0,Pass
-114.9460786880402,35.95726530280701,-114.94329796713772,35.959514497396114,81.20884977770616,84.20696789174357,83.94777778388037,0.2075138701665845,0.3459389636562616,1111.4739910722421,1134.9077537660914,3.83913121545287,0.7657098525989139,0.18544669737850616,0.19156348646718757,-114.94468832758896,35.958389900101565,4.0,0.0,Pass
-114.94885940894268,35.9527669136288,-114.9460786880402,35.955016108217905,100.0,100.04629213492831,64.87363456521648,0.2172421856501219,0.3590548744195081,1088.8731765134946,5990.109195957093,4942.504455856589,0.06339144215530904,0.21513062868522792,0.22007012168480494,-114.94746904849144,35.953891510923356,4.0,0.0,Pass
-114.94885940894268,35.950517719039695,-114.9460786880402,35.9527669136288,93.27710055897221,86.68645981863905,42.43369650638479,0.23269164406558546,0.40336850065963437,1118.0279182037611,1771.1580491543318,688.5398895938982,0.09483667017913594,0.1849007229153139,0.1911844778948506,-114.94746904849144,35.951642316334244,1.0,0.0,Pass
-114.95442085074764,35.946019329861485,-114.95164012984516,35.94826852445059,95.10304169779744,98.98333441319923,74.5928800413459,0.2218106906811591,0.37301399811181696,921.4999088672191,930.5918191692783,37.87563294279361,0.3274700598802395,0.22181512846194515,0.22748837881563355,-114.9530304902964,35.947143927156034,5.0,0.0,Pass
-114.95164012984516,35.946019329861485,-114.94885940894268,35.94826852445059,100.0,98.4266722952424,96.15808067735264,0.20593134717811143,0.3749551594087283,1083.6631593331508,1105.012800492997,19.42559619061144,0.6934346174715139,0.20426175118693202,0.21230980231387508,-114.95024976939392,35.947143927156034,4.0,0.0,Pass
-114.94885940894268,35.946019329861485,-114.9460786880402,35.94826852445059,100.0,50.50371162724904,27.144379342082853,0.2514195957922687,0.4454626736685615,1190.7409399644428,1185.8289600269215,21.725998557150902,1.0,0.16135057036478542,0.166251281290248,-114.94746904849144,35.947143927156034,0.0,0.0,Pass
-114.95442085074764,35.94377013527238,-114.95164012984516,35.946019329861485,60.00019330461599,88.10342258306392,92.131991571041,0.2220111343162474,0.4095557959040258,929.2746187115866,935.6268352019222,16.034251707770554,0.6844547563805105,0.20352878248838438,0.20729857011496006,-114.9530304902964,35.94489473256694,3.0,0.0,Pass
-114.95164012984516,35.94377013527238,-114.94885940894268,35.946019329861485,72.72697463986285,74.38943136875527,60.40105612665537,0.20639210528671742,0.3907722969982563,1143.4807937374846,1121.6658098283572,25.45554930690661,0.3471878316236293,0.20117287148934151,0.20668662654916625,-114.95024976939392,35.94489473256694,1.0,0.0,Pass
-114.95442085074764,35.941520940683276,-114.95164012984516,35.94377013527238,100.0,91.2407271637502,94.4136393829231,0.2682582266390847,0.48930669837014246,922.8447349243943,878.9643767292886,0.8391520590990973,0.5078344716753717,0.1860492813450473,0.18962344631511338,-114.9530304902964,35.942645537977825,4.0,0.0,Pass
-114.95164012984516,35.941520940683276,-114.94885940894268,35.94377013527238,57.81304540158926,93.36616594754884,37.979539830483915,0.21196849011321633,0.39130497270869424,1121.2725492874392,1116.0887055846965,24.092278731496712,0.7102892366050261,0.1859545299147369,0.18879812624351824,-114.95024976939392,35.942645537977825,1.0,0.0,Pass
-115.88320660099363,35.95501610821805,-115.88042588009115,35.957265302807144,0.0,99.84383637289362,100.02960204117426,0.3020375044748396,0.49626593758905146,804.4101197795693,-999.0,-999.0,-999.0,0.31974143754823714,0.3482308680419687,-115.88181624054239,35.956140705512595,6.0,8.0,Pass
-115.16576188154083,35.9977508054109,-115.16298116063837,36.0,0.0,99.89548563773678,81.46633368215342,0.22896583832943565,0.4065174274445452,696.1495241997901,673.5672228245553,6.021091866349887,1.0,0.2915793455577945,0.30627950933661946,-115.1643715210896,35.99887540270545,5.0,5.0,Pass
-115.17132332334576,35.99325241623271,-115.1685426024433,35.995501610821805,0.0,99.89538668575963,33.12506310904418,0.23648044405687985,0.40471462629214344,702.6060826807503,682.2744583534984,7.5101835415043,1.0,0.28884027161292636,0.30961015127512737,-115.16993296289453,35.994377013527256,5.0,4.0,Pass
-115.17132332334576,35.99100322164361,-115.1685426024433,35.99325241623271,0.0,99.99643835517207,77.5948010760382,0.2224289304065767,0.4518519747645792,706.1808496107088,682.4558131594911,2.855768700549294,1.0,0.3215552031488928,0.3287893763712293,-115.16993296289453,35.99212781893816,5.0,4.0,Pass
