system:index,latitude,longitude,.geo
00000000000000000109,-7.402898,28.032757,"{""type"":""Point"",""coordinates"":[28.032758587533944,-7.402897009606618]}"
0000000000000000010a,-7.862,28.265,"{""type"":""Point"",""coordinates"":[28.26500194770057,-7.862001594968354]}"
0000000000000000011e,-7.4011,28.48271,"{""type"":""Point"",""coordinates"":[28.48270863843295,-7.401099991882079]}"
00000000000000000152,-7.41148,28.48975,"{""type"":""Point"",""coordinates"":[28.489749558996344,-7.411480779134501]}"
00000000000000000153,-7.35111,28.05128,"{""type"":""Point"",""coordinates"":[28.05128169330996,-7.351109009971897]}"
0000000000000000016c,-7.40986,28.46063,"{""type"":""Point"",""coordinates"":[28.46063162911734,-7.409862125452099]}"
00000000000000000193,-7.35589,28.05126,"{""type"":""Point"",""coordinates"":[28.051259397804685,-7.355889166301192]}"
000000000000000001a1,-7.3729,28.07884,"{""type"":""Point"",""coordinates"":[28.07883893782025,-7.372900636820088]}"
0000000000000000071e,-7.379471,28.073759,"{""type"":""Point"",""coordinates"":[28.073760021720382,-7.379468892671813]}"
0000000000000000071f,-7.371176,28.067468,"{""type"":""Point"",""coordinates"":[28.067468230133965,-7.371174964712404]}"
00000000000000000720,-7.367224,28.073179,"{""type"":""Point"",""coordinates"":[28.07318033858343,-7.3672242011790505]}"
00000000000000000721,-7.402898,28.032757,"{""type"":""Point"",""coordinates"":[28.032758587533944,-7.402897009606618]}"
00000000000000000722,-7.862,28.265,"{""type"":""Point"",""coordinates"":[28.26500194770057,-7.862001594968354]}"
00000000000000000791,-7.4011,28.48271,"{""type"":""Point"",""coordinates"":[28.48270863843295,-7.401099991882079]}"
0000000000000000079c,-7.40986,28.46063,"{""type"":""Point"",""coordinates"":[28.46063162911734,-7.409862125452099]}"
000000000000000007c6,-7.3636388889,28.0169444444,"{""type"":""Point"",""coordinates"":[28.01694661519843,-7.363639083932081]}"
00000000000000000ec5,-7.379471,28.073759,"{""type"":""Point"",""coordinates"":[28.073760021720382,-7.379468892671813]}"
