system:index,latitude,longitude,.geo
00000000000000000743,-8.60881,27.32355,"{""type"":""Point"",""coordinates"":[27.323551942286535,-8.608811839399468]}"
0000000000000000074c,-8.5808,27.4734,"{""type"":""Point"",""coordinates"":[27.473400033187584,-8.580799766581721]}"
0000000000000000074d,-8.5672777778,27.4774444444,"{""type"":""Point"",""coordinates"":[27.477444437843065,-8.567279772187675]}"
0000000000000000075a,-8.5845083333,27.4485116667,"{""type"":""Point"",""coordinates"":[27.448513790208303,-8.584509738658188]}"
0000000000000000075b,-8.5779516667,27.4892033333,"{""type"":""Point"",""coordinates"":[27.489203087321,-8.577950401008568]}"
00000000000000000767,-8.3338683333,27.4074766667,"{""type"":""Point"",""coordinates"":[27.407476683213446,-8.333868127545047]}"
00000000000000000769,-8.6221166667,27.32846,"{""type"":""Point"",""coordinates"":[27.328461412546382,-8.62211779694295]}"
0000000000000000076a,-8.2803166667,27.4296266667,"{""type"":""Point"",""coordinates"":[27.429625038145904,-8.280318782994216]}"
0000000000000000076b,-8.5662016667,27.50775,"{""type"":""Point"",""coordinates"":[27.507748488602278,-8.566200669732739]}"
0000000000000000076e,-8.6274566667,27.314205,"{""type"":""Point"",""coordinates"":[27.314205666478518,-8.627455340903925]}"
0000000000000000076f,-8.5737883333,27.4050283333,"{""type"":""Point"",""coordinates"":[27.4050286367351,-8.573790059725706]}"
00000000000000000774,-8.53585,27.4253116667,"{""type"":""Point"",""coordinates"":[27.425313087427227,-8.535852027962987]}"
00000000000000000778,-8.5887483333,27.39786,"{""type"":""Point"",""coordinates"":[27.39785840224116,-8.588750343760015]}"
00000000000000000780,-8.5770316667,27.3795083333,"{""type"":""Point"",""coordinates"":[27.379509201406233,-8.577031826191561]}"
00000000000000000782,-8.5927533333,27.3558,"{""type"":""Point"",""coordinates"":[27.355800161105055,-8.592754616506008]}"
00000000000000000785,-8.6301683333,27.3274483333,"{""type"":""Point"",""coordinates"":[27.327449196607244,-8.63016647434442]}"
00000000000000000788,-8.5834366667,27.5400966667,"{""type"":""Point"",""coordinates"":[27.540094807643975,-8.583435095304306]}"
000000000000000007a9,-8.5932777778,27.3648333333,"{""type"":""Point"",""coordinates"":[27.364834299839337,-8.593276331329262]}"
00000000000000000ed7,-8.5808,27.4734,"{""type"":""Point"",""coordinates"":[27.473400033187584,-8.580799766581721]}"
00000000000000000ed8,-8.5672777778,27.4774444444,"{""type"":""Point"",""coordinates"":[27.477444437843065,-8.567279772187675]}"
00000000000000000ee5,-8.3338683333,27.4074766667,"{""type"":""Point"",""coordinates"":[27.407476683213446,-8.333868127545047]}"
00000000000000000ee7,-8.6221166667,27.32846,"{""type"":""Point"",""coordinates"":[27.328461412546382,-8.62211779694295]}"
