system:index,latitude,longitude,.geo
00000000000000000115,-7.985388,26.841956,"{""type"":""Point"",""coordinates"":[26.841955651211222,-7.985389380218255]}"
0000000000000000011a,-7.933694,26.698819,"{""type"":""Point"",""coordinates"":[26.698818507395607,-7.933695021705657]}"
00000000000000000155,-7.89655,26.78035,"{""type"":""Point"",""coordinates"":[26.780348711056817,-7.896550709930451]}"
00000000000000000162,-7.89261,26.79577,"{""type"":""Point"",""coordinates"":[26.795768282499623,-7.892608864599205]}"
0000000000000000019b,-7.89925,26.78636,"{""type"":""Point"",""coordinates"":[26.78635957927686,-7.899248466067785]}"
00000000000000000742,-7.88864,26.8267222222,"{""type"":""Point"",""coordinates"":[26.826723362012647,-7.888640264661637]}"
0000000000000000075f,-7.985388,26.841956,"{""type"":""Point"",""coordinates"":[26.841955651211222,-7.985389380218255]}"
00000000000000000760,-7.907843,26.795834,"{""type"":""Point"",""coordinates"":[26.795835169015426,-7.907841153797776]}"
00000000000000000765,-7.891277,26.797848,"{""type"":""Point"",""coordinates"":[26.797846223590536,-7.891275593384225]}"
00000000000000000766,-7.901714,26.683242,"{""type"":""Point"",""coordinates"":[26.68324286741592,-7.901714348950339]}"
00000000000000000771,-7.915403,26.741327,"{""type"":""Point"",""coordinates"":[26.741327117738106,-7.91540378918442]}"
00000000000000000773,-7.99,26.618,"{""type"":""Point"",""coordinates"":[26.61800175990296,-7.990000090707516]}"
0000000000000000077b,-7.933694,26.698819,"{""type"":""Point"",""coordinates"":[26.698818507395607,-7.933695021705657]}"
000000000000000007ba,-7.9581944444,26.8625833333,"{""type"":""Point"",""coordinates"":[26.86258345268446,-7.958193322893287]}"
000000000000000007c1,-7.9029722222,26.738,"{""type"":""Point"",""coordinates"":[26.73800062835224,-7.902971815447412]}"
00000000000000000ed0,-7.88864,26.8267222222,"{""type"":""Point"",""coordinates"":[26.826723362012647,-7.888640264661637]}"
00000000000000000edf,-7.985388,26.841956,"{""type"":""Point"",""coordinates"":[26.841955651211222,-7.985389380218255]}"
00000000000000000ee0,-7.907843,26.795834,"{""type"":""Point"",""coordinates"":[26.795835169015426,-7.907841153797776]}"
00000000000000000ee3,-7.891277,26.797848,"{""type"":""Point"",""coordinates"":[26.797846223590536,-7.891275593384225]}"
00000000000000000ee4,-7.901714,26.683242,"{""type"":""Point"",""coordinates"":[26.68324286741592,-7.901714348950339]}"
00000000000000000eed,-7.915403,26.741327,"{""type"":""Point"",""coordinates"":[26.741327117738106,-7.91540378918442]}"
00000000000000000ef0,-7.933694,26.698819,"{""type"":""Point"",""coordinates"":[26.698818507395607,-7.933695021705657]}"
00000000000000000f1b,-7.9581944444,26.8625833333,"{""type"":""Point"",""coordinates"":[26.86258345268446,-7.958193322893287]}"
00000000000000000f21,-7.9029722222,26.738,"{""type"":""Point"",""coordinates"":[26.73800062835224,-7.902971815447412]}"
00000000000000000f58,-7.891722222,26.93638889,"{""type"":""Point"",""coordinates"":[26.936390493321095,-7.891721503489569]}"
00000000000000000f59,-7.824388889,26.85313889,"{""type"":""Point"",""coordinates"":[26.853139076653264,-7.824389077582537]}"
00000000000000000f5a,-7.843583333,26.76644444,"{""type"":""Point"",""coordinates"":[26.766445233972167,-7.84358550761762]}"
00000000000000000dd3,-7.88864,26.8267222222,"{""type"":""Point"",""coordinates"":[26.826723362012647,-7.888640264661637]}"
00000000000000000dd4,-7.891277,26.797848,"{""type"":""Point"",""coordinates"":[26.797846223590536,-7.891275593384225]}"
00000000000000000de2,-7.985388,26.841956,"{""type"":""Point"",""coordinates"":[26.841955651211222,-7.985389380218255]}"
00000000000000000de3,-7.907843,26.795834,"{""type"":""Point"",""coordinates"":[26.795835169015426,-7.907841153797776]}"
00000000000000000de4,-7.9581944444,26.8625833333,"{""type"":""Point"",""coordinates"":[26.86258345268446,-7.958193322893287]}"
00000000000000000dee,-7.898975,26.6844333333,"{""type"":""Point"",""coordinates"":[26.684433447397197,-7.898976460903525]}"
00000000000000000df7,-7.915403,26.741327,"{""type"":""Point"",""coordinates"":[26.741327117738106,-7.91540378918442]}"
00000000000000000df8,-7.9029722222,26.738,"{""type"":""Point"",""coordinates"":[26.73800062835224,-7.902971815447412]}"
00000000000000000dfa,-7.85409,26.7572233333,"{""type"":""Point"",""coordinates"":[26.757223812993644,-7.8540911496995385]}"
0000000000000000056b,-7.985388,26.841956,"{""type"":""Point"",""coordinates"":[26.841955651211222,-7.985389380218255]}"
0000000000000000056c,-7.907843,26.795834,"{""type"":""Point"",""coordinates"":[26.795835169015426,-7.907841153797776]}"
00000000000000000570,-7.901714,26.683242,"{""type"":""Point"",""coordinates"":[26.68324286741592,-7.901714348950339]}"
00000000000000000572,-7.915403,26.741327,"{""type"":""Point"",""coordinates"":[26.741327117738106,-7.91540378918442]}"
00000000000000000575,-7.933694,26.698819,"{""type"":""Point"",""coordinates"":[26.698818507395607,-7.933695021705657]}"
000000000000000005c0,-7.88864,26.8267222222,"{""type"":""Point"",""coordinates"":[26.826723362012647,-7.888640264661637]}"
0000000000000000069d,-7.99,26.618,"{""type"":""Point"",""coordinates"":[26.61800175990296,-7.990000090707516]}"
000000000000000007f0,-7.99,26.618,"{""type"":""Point"",""coordinates"":[26.61800175990296,-7.990000090707516]}"
000000000000000007fb,-7.907843,26.795834,"{""type"":""Point"",""coordinates"":[26.795835169015426,-7.907841153797776]}"
00000000000000000800,-7.915403,26.741327,"{""type"":""Point"",""coordinates"":[26.741327117738106,-7.91540378918442]}"
00000000000000000804,-7.901714,26.683242,"{""type"":""Point"",""coordinates"":[26.68324286741592,-7.901714348950339]}"
00000000000000001165,-7.9029722222,26.738,"{""type"":""Point"",""coordinates"":[26.73800062835224,-7.902971815447412]}"
000000000000000007f1,-7.99,26.618,"{""type"":""Point"",""coordinates"":[26.61800175990296,-7.990000090707516]}"
000000000000000007f9,-7.88864,26.8267222222,"{""type"":""Point"",""coordinates"":[26.826723362012647,-7.888640264661637]}"
000000000000000007fa,-7.985388,26.841956,"{""type"":""Point"",""coordinates"":[26.841955651211222,-7.985389380218255]}"
000000000000000007fc,-7.907843,26.795834,"{""type"":""Point"",""coordinates"":[26.795835169015426,-7.907841153797776]}"
000000000000000007fd,-7.891277,26.797848,"{""type"":""Point"",""coordinates"":[26.797846223590536,-7.891275593384225]}"
00000000000000000801,-7.915403,26.741327,"{""type"":""Point"",""coordinates"":[26.741327117738106,-7.91540378918442]}"
00000000000000000802,-7.933694,26.698819,"{""type"":""Point"",""coordinates"":[26.698818507395607,-7.933695021705657]}"
00000000000000000805,-7.901714,26.683242,"{""type"":""Point"",""coordinates"":[26.68324286741592,-7.901714348950339]}"
00000000000000000806,-7.939117,26.681862,"{""type"":""Point"",""coordinates"":[26.681860546089354,-7.939117288586643]}"
