FID,vid,cid,id,source,project,pcode,name,visit_date,visit_onsite,visit_onsite_novisitreason,geom,longitude,latitude,location_origin,province,province_old,territoire,collectivite,groupement,village,workers_numb,access_dry,access_wet,is_3t_mine,is_gold_mine,mineral1,selling_points_mineral1,final_destination_mineral1,mineral2,selling_points_mineral2,final_destination_mineral2,mineral3,selling_points_mineral3,final_destination_mineral3,mercury,presence,interference,armed_group1,type_armed_group1,frequency_armed_group1,taxation_armed_group1,commerce_taxation_armed_group1,entrance_taxation_armed_group1,monopoly_armed_group1,buying_minerals_armed_group1,digging_armed_group1,forced_labour_armed_group1,pillaging_armed_group1,armed_group2,type_armed_group2,frequency_armed_group2,taxation_armed_group2,commerce_taxation_armed_group2,entrance_taxation_armed_group2,monopoly_armed_group2,buying_minerals_armed_group2,digging_armed_group2,forced_labour_armed_group2,pillaging_armed_group2,state_service1,state_service2,state_service3,state_service4,itsci,traceability,qualification,childunder15,childunder15work,women,womenwork
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17e6949c6d6_2e75,3202,2565,86,IPIS,IPIS - PPA Mambasa 2017,codmine01564,Motumo,2017-03-26,0,Insécurité,POINT (28.843417 1.100417),28.843417,1.100417,GPS,Ituri,orientale,Mambasa,Babila-Babombi,Babila-Teturi,vs Teturi,0,carmoto,carmoto,0,1,Or,Teturi,"Butembo, Je ne sais pas",Diamant,,,,,,0,1,1,FARDC,FARDC - Pas d’ingérence constatée,Quotidien,0,,,0,,,,,Maï-Maï Simba (ex-Morgan - Manu),Groupe armé local,Une fois par mois,0,,,0,,,,,,,,,,,,0,,0,Pas d'accès
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17e6949c6d6_2e76,3203,2566,17,IPIS,IPIS - PPA Mambasa 2017,codmine02743,Camp Centrale,2017-03-26,1,,POINT (29.3263016667 0.8918483333),29.32630167,0.89184833,GPS,Ituri,orientale,Mambasa,Babila-Babombi,Babila Teturi,47 village,5,less2h,less2h,0,1,Or,Biakato,Butembo,,,,,,,1,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1,,1,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17e6949c6d6_2e77,3204,2567,15,IPIS,IPIS - IOM 2016-2018,codmine00311,D4 Gakombe,2017-03-27,1,,POINT (28.882969 -1.570912),28.882969,-1.570912,GPS,Nord-Kivu,Nord-Kivu,Masisi,Bahunde,Matanda,Karambayiro/Luhundje,3500,less2h,,1,0,Coltan,Rubaya,Goma,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,SAESSCAM,iTSCi (via SAESSCAM),Division des mines,,Actif,iTSCI,,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17e6949c6d6_2e78,3205,2568,218,IPIS,IPIS - IOM 2016-2018,codmine02192,Rubimbe,2017-03-27,1,,POINT (28.3814083333 -2.66194),28.38140833,-2.66194,GPS,Sud-Kivu,Sud-Kivu,Kabare,Nindja,Luhago,Matale,50,less2h,,0,1,Or,"Lubimbe, Chulwe, Nzibira",Bukavu,,,,,,,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17e6949c6d6_2e79,3206,2569,215,IPIS,IPIS - IOM 2016-2018,codmine02160,Kanosho,2017-03-28,0,Insécurité,POINT (28.4068166667 -2.6476716667),28.40681667,-2.64767167,GPS,Sud-Kivu,Sud-Kivu,Kabare,Nindja,Luhago,Mbogwe,12,less2h,,0,1,Or,"Chulwe, Nzibira",Bukavu,,,,,,,0,1,1,Raïa Mutomboki,Groupe armé local,Quotidien,1,0,0,0,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17e6949c6d6_2e7a,3207,2570,77,IPIS,IPIS - IOM 2016-2018,codmine00716,Kisangani,2017-03-29,1,,POINT (27.714458 -3.647301),27.714458,-3.647301,GPS,Sud-Kivu,Sud-Kivu,Shabunda,Wakabango,Ikama-Kasanza,Ngoy,80,more2h,,0,1,Or,Kitindi,Bukavu,,,,,,,1,0,0,,0,,,,,,,,,,,0,,,,,,,,,,SAESSCAM,Division des mines,,,,,,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17e6949c6d6_2e7b,3208,2571,304,IPIS,IPIS - IOM 2016-2018,codmine02841,Namugengula II,2017-03-29,1,,POINT (28.5176583333 -2.698665),28.51765833,-2.698665,GPS,Sud-Kivu,Sud-Kivu,Walungu,Ngweshe,Mulamba,Rhana,16,less2h,,0,1,Or,"Nzibira, Nkankinda",Bukavu,,,,,,,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,SAESSCAM,Division des mines,,,,,,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17e6949c6d6_2e7c,3209,2572,307,IPIS,IPIS - IOM 2016-2018,codmine02844,Namugengula I,2017-03-29,1,,POINT (28.5302866667 -2.7067883333),28.53028667,-2.70678833,GPS,Sud-Kivu,Sud-Kivu,Walungu,Ngweshe,Mulamba,Mirumba,30,less2h,,0,1,Or,Nkankinda,Bukavu,,,,,,,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,SAESSCAM,Division des mines,Police des Mines,,,,,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17e6949c6d6_2e7d,3210,2573,310,IPIS,IPIS - IOM 2016-2018,codmine02847,Kabungunga,2017-03-29,1,,POINT (27.71221 -3.6416283333),27.71221,-3.64162833,GPS,Sud-Kivu,Sud-Kivu,Shabunda,Wakabango,Ikama kasanza,Kitindi,26,more2h,,0,1,Or,Kitindi,Bukavu,,,,,,,1,0,0,,0,,,,,,,,,,,0,,,,,,,,,,SAESSCAM,Division des mines,,,,,,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17e6949c6d6_2e7e,3211,2574,314,IPIS,IPIS - IOM 2016-2018,codmine02851,Bucheri,2017-03-29,1,,POINT (27.714875 -3.6374833333),27.714875,-3.63748333,GPS,Sud-Kivu,Sud-Kivu,Shabunda,Wakabango,Ikama kasanza,Kitindi,25,more2h,,0,1,Or,Kitindi,Bukavu,,,,,,,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,SAESSCAM,Division des mines,,,,,,,,,
