system:index,latitude,longitude,.geo
00000000000000000107,-7.32334,27.393398,"{""type"":""Point"",""coordinates"":[27.393399301187713,-7.32334218771209]}"
00000000000000000108,-7.27502,27.45496,"{""type"":""Point"",""coordinates"":[27.454961650331587,-7.2750189095958975]}"
0000000000000000011c,-7.278822,27.444173,"{""type"":""Point"",""coordinates"":[27.444175084883305,-7.278822522794484]}"
00000000000000000146,-7.32,27.3979,"{""type"":""Point"",""coordinates"":[27.397898534150638,-7.319997861922005]}"
0000000000000000014b,-7.28099,27.43976,"{""type"":""Point"",""coordinates"":[27.439760574840385,-7.280989645906462]}"
00000000000000000168,-7.31635,27.38902,"{""type"":""Point"",""coordinates"":[27.38902046395323,-7.316350317260287]}"
00000000000000000169,-7.3199,27.95215,"{""type"":""Point"",""coordinates"":[27.9521514177908,-7.31989976169883]}"
0000000000000000016a,-7.30708,27.96511,"{""type"":""Point"",""coordinates"":[27.965109565452114,-7.307079846170175]}"
00000000000000000174,-7.28297,27.45034,"{""type"":""Point"",""coordinates"":[27.45034202164022,-7.282969486774192]}"
000000000000000001c9,-7.27722,27.45791,"{""type"":""Point"",""coordinates"":[27.45790911612791,-7.2772217055163]}"
0000000000000000010b,-7.546741,27.390609,"{""type"":""Point"",""coordinates"":[27.390607903928252,-7.546743150489727]}"
0000000000000000010c,-7.770928,27.220718,"{""type"":""Point"",""coordinates"":[27.220716153791965,-7.770928915052774]}"
00000000000000000118,-7.77984,27.30024,"{""type"":""Point"",""coordinates"":[27.300239761979125,-7.77983819895756]}"
00000000000000000718,-7.315301,27.381627,"{""type"":""Point"",""coordinates"":[27.38162727440662,-7.3153024285127275]}"
00000000000000000719,-7.32334,27.393398,"{""type"":""Point"",""coordinates"":[27.393399301187713,-7.32334218771209]}"
0000000000000000071a,-7.303702,27.411552,"{""type"":""Point"",""coordinates"":[27.41155230157629,-7.303699847571661]}"
0000000000000000071b,-7.258119,27.466443,"{""type"":""Point"",""coordinates"":[27.466443835544215,-7.258118916603338]}"
0000000000000000071c,-7.264956,27.458457,"{""type"":""Point"",""coordinates"":[27.45845758555749,-7.264954718518269]}"
0000000000000000071d,-7.27502,27.45496,"{""type"":""Point"",""coordinates"":[27.454961650331587,-7.2750189095958975]}"
00000000000000000781,-7.278822,27.444173,"{""type"":""Point"",""coordinates"":[27.444175084883305,-7.278822522794484]}"
00000000000000000794,-7.32,27.3979,"{""type"":""Point"",""coordinates"":[27.397898534150638,-7.319997861922005]}"
00000000000000000795,-7.28099,27.43976,"{""type"":""Point"",""coordinates"":[27.439760574840385,-7.280989645906462]}"
00000000000000000799,-7.31635,27.38902,"{""type"":""Point"",""coordinates"":[27.38902046395323,-7.316350317260287]}"
0000000000000000079a,-7.3199,27.95215,"{""type"":""Point"",""coordinates"":[27.9521514177908,-7.31989976169883]}"
