system:index,latitude,longitude,.geo
0000000000000000088b,-8.1752966667,28.98523,"{""type"":""Point"",""coordinates"":[28.98523149075209,-8.175298034983461]}"
0000000000000000088c,-8.240657,28.951272,"{""type"":""Point"",""coordinates"":[28.951270977129045,-8.240655079123817]}"
0000000000000000088d,-8.240129,28.943747,"{""type"":""Point"",""coordinates"":[28.94374847365189,-8.24012890519951]}"
0000000000000000088e,-8.070615,28.800825,"{""type"":""Point"",""coordinates"":[28.80082536668683,-8.070616178652765]}"
0000000000000000088f,-8.219744,28.969675,"{""type"":""Point"",""coordinates"":[28.969673687176616,-8.219741895183153]}"
