min lon,min lat,max lon,max lat,percent loss,percent bare,vh_percent,nir/g,swir1/b
27,-7.204491824824396,27.004491672900052,-7.2,0,0,0,0.5271651885187895,0.5437584822441213
27.004491672900052,-7.20449182487495,27.008983345800104,-7.2,0,0,3.5843783252685752,0.5187920117089331,0.5238548774024727
27.008983345800104,-7.204491824925512,27.013475018700156,-7.2,0,0,97.38569198127624,-0.2087187381620169,-0.43155436245015666
27.013475018700156,-7.204491824976081,27.017966691600208,-7.2,0,0,99.56444011105118,-0.2738717543632214,-0.5201559108691926
27.017966691600208,-7.20449182502666,27.02245836450026,-7.2,0,0,19.67476839433367,0.44995812335590807,0.3654300522512873
27.02245836450026,-7.204491825077247,27.02695003740031,-7.2,0,0,3.687013125666045,0.4796255779525521,0.37722095382495063
27.02695003740031,-7.2044918251278425,27.031441710300363,-7.2,0,0,48.02657260222892,0.1083842890655539,0.11706510538415996
27.031441710300363,-7.204491825178446,27.035933383200415,-7.2,0,0,2.6974177156352477,0.4774703363253479,0.48990023535771515
27.035933383200415,-7.204491825229058,27.040425056100467,-7.2,0,0,0,0.46192203995957126,0.6037304957237234
27.040425056100467,-7.204491825279679,27.04491672900052,-7.2,0,0.991762870835506,0,0.5497037847104683,0.6708992135152521
27.04491672900052,-7.204491825330308,27.04940840190057,-7.2,0,0,0,0.5551232410514795,0.6864532159779958
27.04940840190057,-7.204491825380946,27.053900074800623,-7.2,0,0,0,0.5795420237695145,0.6958616822145772
27.053900074800623,-7.2044918254315915,27.058391747700675,-7.2,0,0,0,0.5724944711408037,0.6917101440656668
27.058391747700675,-7.204491825482246,27.062883420600727,-7.2,0,0,0,0.5669517633145408,0.6888309174880235
27.062883420600727,-7.204491825532909,27.06737509350078,-7.2,0,0,0,0.5488498616383884,0.6905010309222
27.06737509350078,-7.20449182558358,27.07186676640083,-7.2,0,0,0,0.5599142066288794,0.6914276629328637
27.07186676640083,-7.20449182563426,27.076358439300883,-7.2,0,0,0,0.5682711687172018,0.681661958642078
27.076358439300883,-7.204491825684947,27.080850112200935,-7.2,0,0,0,0.5779048668886545,0.6775189445449058
27.080850112200935,-7.204491825735643,27.085341785100987,-7.2,0,0,0,0.5588025236893798,0.679364527721242
27.085341785100987,-7.204491825786349,27.08983345800104,-7.2,0,0,0,0.518670032022068,0.6528599526728612
27.08983345800104,-7.204491825837062,27.09432513090109,-7.2,0,0,0,0.5173545184690421,0.6655903326318231
27.09432513090109,-7.204491825887783,27.098816803801142,-7.2,0,0,0,0.5393838478968046,0.6696377439631133
27.098816803801142,-7.204491825938513,27.103308476701194,-7.2,0,0,0,0.5701031171089651,0.6764472466795518
27,-7.208983650762909,27.004491672900052,-7.204491825938513,0,0,0,0.5116244927951238,0.473185040068688
27.004491672900052,-7.208983650813463,27.008983345800104,-7.204491825938513,0,0,4.003257546019217,0.4550356406305526,0.37659102747953194
27.008983345800104,-7.208983650864025,27.013475018700156,-7.204491825938513,0,0,95.93790682904182,-0.18782496639411617,-0.45295624693430436
27.013475018700156,-7.208983650914594,27.017966691600208,-7.204491825938513,0,0,99.56446639759871,-0.27555353221897433,-0.5899405799873253
27.017966691600208,-7.208983650965173,27.02245836450026,-7.204491825938513,0,0,50.73946218265366,0.2800191448247474,0.13382281267709484
27.02245836450026,-7.20898365101576,27.02695003740031,-7.204491825938513,0,0,0,0.43861130052673136,0.29447811081392655
27.02695003740031,-7.208983651066355,27.031441710300363,-7.204491825938513,0,0,47.19866128511612,0.13968168785856566,0.09203787289998329
27.031441710300363,-7.208983651116959,27.035933383200415,-7.204491825938513,0,0,5.512943197977992,0.47101602068174714,0.46853879130197107
27.035933383200415,-7.208983651167571,27.040425056100467,-7.204491825938513,0,0,15.857048149481479,0.44417126451308286,0.6351576608091409
27.040425056100467,-7.208983651218192,27.04491672900052,-7.204491825938513,1.1852753896367185,0.9956638016852837,0,0.5220838394378272,0.681521451959774
27.04491672900052,-7.208983651268821,27.04940840190057,-7.204491825938513,0,0,0,0.5376499994369076,0.6778454727114699
27.04940840190057,-7.208983651319459,27.053900074800623,-7.204491825938513,0,0,0,0.5455085990152235,0.681804310077567
27.053900074800623,-7.208983651370104,27.058391747700675,-7.204491825938513,0,0,0,0.5417531999297087,0.6932189879341989
27.058391747700675,-7.208983651420759,27.062883420600727,-7.204491825938513,0,0,0,0.5546813252251284,0.69057064501798
27.062883420600727,-7.208983651471422,27.06737509350078,-7.204491825938513,0,0,0,0.567189958065583,0.7008166155418807
27.06737509350078,-7.208983651522093,27.07186676640083,-7.204491825938513,0,0,0,0.5777342555006548,0.6990534786057077
27.07186676640083,-7.2089836515727725,27.076358439300883,-7.204491825938513,0,0,0,0.5618671481335151,0.7044844521227904
27.076358439300883,-7.20898365162346,27.080850112200935,-7.204491825938513,0,0,0,0.5769128609352442,0.6926113529602477
27.080850112200935,-7.208983651674156,27.085341785100987,-7.204491825938513,0,0,0,0.5664939486141432,0.6847635749386645
27.085341785100987,-7.2089836517248616,27.08983345800104,-7.204491825938513,0,0,0,0.5353838478388144,0.6765833734795537
27.08983345800104,-7.208983651775575,27.09432513090109,-7.204491825938513,0,0,0,0.5188179093764825,0.6600010012058267
27.09432513090109,-7.208983651826296,27.098816803801142,-7.204491825938513,0,0,0,0.5343452031982727,0.6712858516380092
27.098816803801142,-7.208983651877026,27.103308476701194,-7.204491825938513,0,0,0,0.5582649484747889,0.6711369271774391
27,-7.213475476701422,27.004491672900052,-7.208983651877026,0,0,0,0.5075071197284877,0.4708675897519996
