"[28.937554076634992, -1.4194229414893844]","[28.937554076634992, -1.4104392468819509]","[28.928570730834885, -1.4104392468819509]","[28.928570730834885, -1.4194229414893844]"
"[28.883654001834348, -1.563162133918343]","[28.883654001834348, -1.554178440609545]","[28.87467065603424, -1.554178440609545]","[28.87467065603424, -1.563162133918343]"
"[28.892637347634455, -1.563162134134614]","[28.892637347634455, -1.554178440609545]","[28.883654001834348, -1.554178440609545]","[28.883654001834348, -1.563162134134614]"
"[28.883654001834348, -1.5721458335263176]","[28.883654001834348, -1.5631621402175195]","[28.87467065603424, -1.5631621402175195]","[28.87467065603424, -1.5721458335263176]"
"[28.892637347634455, -1.5721458337425886]","[28.892637347634455, -1.5631621402175195]","[28.883654001834348, -1.5631621402175195]","[28.883654001834348, -1.5721458337425886]"
"[28.901620693434563, -1.7967383241582926]","[28.901620693434563, -1.7877546304168852]","[28.892637347634455, -1.7877546304168852]","[28.892637347634455, -1.7967383241582926]"
