"[28.66805370263179, -2.8208783415651775]","[28.66805370263179, -2.8118946534266986]","[28.659070356831684, -2.8118946534266986]","[28.659070356831684, -2.8208783415651775]"
"[28.66805370263179, -2.829862030347827]","[28.66805370263179, -2.820878342209348]","[28.659070356831684, -2.820878342209348]","[28.659070356831684, -2.829862030347827]"
"[28.60517028203104, -2.9107152278909614]","[28.60517028203104, -2.901731541253192]","[28.596186936230932, -2.901731541253192]","[28.596186936230932, -2.9107152278909614]"
"[28.66805370263179, -2.91969891817432]","[28.66805370263179, -2.910715230035841]","[28.659070356831684, -2.910715230035841]","[28.659070356831684, -2.91969891817432]"
