"[28.883654001834334, -2.7939292882462055]","[28.883654001834334, -2.7849455949374073]","[28.874670656034226, -2.7849455949374073]","[28.874670656034226, -2.7939292882462055]"
"[28.838737272833797, -2.811896677681179]","[28.838737272833797, -2.8029129854527266]","[28.82975392703369, -2.8029129854527266]","[28.82975392703369, -2.811896677681179]"
"[28.739920469032615, -2.865798846856297]","[28.739920469032615, -2.8568151569986844]","[28.730937123232508, -2.8568151569986844]","[28.730937123232508, -2.865798846856297]"
"[28.847720618633904, -2.8657988494430713]","[28.847720618633904, -2.8568151569986844]","[28.838737272833797, -2.8568151569986844]","[28.838737272833797, -2.8657988494430713]"
"[28.883654001834334, -2.8657988503074825]","[28.883654001834334, -2.8568151569986844]","[28.874670656034226, -2.8568151569986844]","[28.874670656034226, -2.8657988503074825]"
"[28.739920469032615, -2.8747825421139566]","[28.739920469032615, -2.865798852256344]","[28.730937123232508, -2.865798852256344]","[28.730937123232508, -2.8747825421139566]"
"[28.748903814832723, -2.874782542329151]","[28.748903814832723, -2.865798852256344]","[28.739920469032615, -2.865798852256344]","[28.739920469032615, -2.874782542329151]"
"[28.883654001834334, -2.874782545565142]","[28.883654001834334, -2.865798852256344]","[28.874670656034226, -2.865798852256344]","[28.874670656034226, -2.874782545565142]"
"[28.748903814832723, -2.8837662375868107]","[28.748903814832723, -2.8747825475140036]","[28.739920469032615, -2.8747825475140036]","[28.739920469032615, -2.8837662375868107]"
"[28.883654001834334, -2.8837662408228018]","[28.883654001834334, -2.8747825475140036]","[28.874670656034226, -2.8747825475140036]","[28.874670656034226, -2.8837662408228018]"
"[28.802803889633367, -2.919701019910029]","[28.802803889633367, -2.910717328544642]","[28.79382054383326, -2.910717328544642]","[28.79382054383326, -2.919701019910029]"
"[28.838737272833797, -2.937668411288414]","[28.838737272833797, -2.9286847190599614]","[28.82975392703369, -2.9286847190599614]","[28.82975392703369, -2.937668411288414]"
"[28.847720618633904, -2.9376684115043483]","[28.847720618633904, -2.9286847190599614]","[28.838737272833797, -2.9286847190599614]","[28.838737272833797, -2.9376684115043483]"
"[28.86568731023412, -2.9376684119364196]","[28.86568731023412, -2.9286847190599614]","[28.85670396443401, -2.9286847190599614]","[28.85670396443401, -2.9376684119364196]"
"[28.89263734763444, -2.94665210784269]","[28.89263734763444, -2.937668414317621]","[28.883654001834334, -2.937668414317621]","[28.883654001834334, -2.94665210784269]"
"[28.90162069343455, -2.9466521080590287]","[28.90162069343455, -2.937668414317621]","[28.89263734763444, -2.937668414317621]","[28.89263734763444, -2.9466521080590287]"
"[28.802803889633367, -2.9556358009406676]","[28.802803889633367, -2.9466521095752807]","[28.79382054383326, -2.9466521095752807]","[28.79382054383326, -2.9556358009406676]"
"[28.883654001834334, -2.955635802884079]","[28.883654001834334, -2.9466521095752807]","[28.874670656034226, -2.9466521095752807]","[28.874670656034226, -2.955635802884079]"
"[28.89263734763444, -2.95563580310035]","[28.89263734763444, -2.9466521095752807]","[28.883654001834334, -2.9466521095752807]","[28.883654001834334, -2.95563580310035]"
"[28.90162069343455, -2.9556358033166883]","[28.90162069343455, -2.9466521095752807]","[28.89263734763444, -2.9466521095752807]","[28.89263734763444, -2.9556358033166883]"
"[28.910604039234656, -2.955635803533094]","[28.910604039234656, -2.9466521095752807]","[28.90162069343455, -2.9466521095752807]","[28.90162069343455, -2.955635803533094]"
"[28.919587385034763, -2.9556358037495665]","[28.919587385034763, -2.9466521095752807]","[28.910604039234656, -2.9466521095752807]","[28.910604039234656, -2.9556358037495665]"
"[28.802803889633367, -2.964619496198327]","[28.802803889633367, -2.9556358048329403]","[28.79382054383326, -2.9556358048329403]","[28.79382054383326, -2.964619496198327]"
"[28.89263734763444, -2.9646194983580094]","[28.89263734763444, -2.9556358048329403]","[28.883654001834334, -2.9556358048329403]","[28.883654001834334, -2.9646194983580094]"
"[28.90162069343455, -2.964619498574348]","[28.90162069343455, -2.9556358048329403]","[28.89263734763444, -2.9556358048329403]","[28.89263734763444, -2.964619498574348]"
