"[29.180104413237864, -0.5569891307466539]","[29.180104413237864, -0.5480054302653867]","[29.171121067437756, -0.5480054302653867]","[29.171121067437756, -0.5569891307466539]"
"[29.18908775903797, -0.5569891309651452]","[29.18908775903797, -0.5480054302653867]","[29.180104413237864, -0.5480054302653867]","[29.180104413237864, -0.5569891309651452]"
"[29.180104413237864, -0.5659728325398785]","[29.180104413237864, -0.5569891320586113]","[29.171121067437756, -0.5569891320586113]","[29.171121067437756, -0.5659728325398785]"
"[29.18908775903797, -0.5659728327583698]","[29.18908775903797, -0.5569891320586113]","[29.180104413237864, -0.5569891320586113]","[29.180104413237864, -0.5659728327583698]"
"[29.180104413237864, -0.6108913415060016]","[29.180104413237864, -0.6019076410247344]","[29.171121067437756, -0.6019076410247344]","[29.171121067437756, -0.6108913415060016]"
"[29.11722099263711, -0.6198750417716705]","[29.11722099263711, -0.610891342817959]","[29.108237646837004, -0.610891342817959]","[29.108237646837004, -0.6198750417716705]"
"[29.171121067437756, -0.7007283592198236]","[29.171121067437756, -0.6917446589569805]","[29.16213772163765, -0.6917446589569805]","[29.16213772163765, -0.7007283592198236]"
"[29.180104413237864, -0.7097120612314722]","[29.180104413237864, -0.7007283607502051]","[29.171121067437756, -0.7007283607502051]","[29.171121067437756, -0.7097120612314722]"
