"[28.919587385034763, -1.9135271343421723]","[28.919587385034763, -1.9045434401678862]","[28.910604039234656, -1.9045434401678862]","[28.910604039234656, -1.9135271343421723]"
"[28.89263734763444, -1.9225108289506148]","[28.89263734763444, -1.9135271354255456]","[28.883654001834334, -1.9135271354255456]","[28.883654001834334, -1.9225108289506148]"
"[28.90162069343455, -1.922510829166953]","[28.90162069343455, -1.9135271354255456]","[28.89263734763444, -1.9135271354255456]","[28.89263734763444, -1.922510829166953]"
"[28.703987085832185, -2.0033640817419878]","[28.703987085832185, -1.9943803927444803]","[28.695003740032078, -1.9943803927444803]","[28.695003740032078, -2.0033640817419878]"
"[28.703987085832185, -2.0123477769996474]","[28.703987085832185, -2.0033640880021397]","[28.695003740032078, -2.0033640880021397]","[28.695003740032078, -2.0123477769996474]"
"[28.838737272833797, -2.0303151707459115]","[28.838737272833797, -2.021331478517459]","[28.82975392703369, -2.021331478517459]","[28.82975392703369, -2.0303151707459115]"
"[28.85670396443401, -2.0842173427238055]","[28.85670396443401, -2.0752336500634168]","[28.847720618633904, -2.0752336500634168]","[28.847720618633904, -2.0842173427238055]"
"[28.775853852233045, -2.138119512328169]","[28.775853852233045, -2.1291358216093745]","[28.766870506432937, -2.1291358216093745]","[28.766870506432937, -2.138119512328169]"
"[28.784837198033152, -2.1381195125436325]","[28.784837198033152, -2.1291358216093745]","[28.775853852233045, -2.1291358216093745]","[28.775853852233045, -2.1381195125436325]"
