"[26.92528461741102, -2.7490086335996753]","[26.92528461741102, -2.740024985831849]","[26.916301271610912, -2.740024985831849]","[26.916301271610912, -2.7490086335996753]"
"[27.185801645614134, -2.865796184580429]","[27.185801645614134, -2.8568125309387873]","[27.176818299814027, -2.8568125309387873]","[27.176818299814027, -2.865796184580429]"
"[27.19478499141424, -2.8657961847839837]","[27.19478499141424, -2.8568125309387873]","[27.185801645614134, -2.8568125309387873]","[27.185801645614134, -2.8657961847839837]"
"[27.185801645614134, -2.8747798418963475]","[27.185801645614134, -2.8657961882547056]","[27.176818299814027, -2.8657961882547056]","[27.176818299814027, -2.8747798418963475]"
