"[29.00942084303585, -2.7040903955949727]","[29.00942084303585, -2.6951066992522574]","[29.000437497235744, -2.6951066992522574]","[29.000437497235744, -2.7040903955949727]"
"[29.00942084303585, -2.731041494418896]","[29.00942084303585, -2.7220577980761806]","[29.000437497235744, -2.7220577980761806]","[29.000437497235744, -2.731041494418896]"
"[29.000437497235744, -2.7400251938097244]","[29.000437497235744, -2.731041497684155]","[28.991454151435637, -2.731041497684155]","[28.991454151435637, -2.7400251938097244]"
"[29.00942084303585, -2.7400251940268703]","[29.00942084303585, -2.731041497684155]","[29.000437497235744, -2.731041497684155]","[29.000437497235744, -2.7400251940268703]"
"[29.000437497235744, -2.749008893417699]","[29.000437497235744, -2.7400251972921295]","[28.991454151435637, -2.7400251972921295]","[28.991454151435637, -2.749008893417699]"
"[29.00942084303585, -2.7490088936348447]","[29.00942084303585, -2.7400251972921295]","[29.000437497235744, -2.7400251972921295]","[29.000437497235744, -2.7490088936348447]"
"[28.883654001834348, -2.7939273886407996]","[28.883654001834348, -2.7849436953320015]","[28.87467065603424, -2.7849436953320015]","[28.87467065603424, -2.7939273886407996]"
"[28.83873727283381, -2.811894786776403]","[28.83873727283381, -2.8029110945479503]","[28.829753927033703, -2.8029110945479503]","[28.829753927033703, -2.811894786776403]"
"[28.98247080563553, -2.81189479023943]","[28.98247080563553, -2.8029110945479503]","[28.97348745983542, -2.8029110945479503]","[28.97348745983542, -2.81189479023943]"
"[29.027387534636066, -2.856813289365031]","[29.027387534636066, -2.8478295925878223]","[29.01840418883596, -2.8478295925878223]","[29.01840418883596, -2.856813289365031]"
"[29.036370880436174, -2.8568132895823783]","[29.036370880436174, -2.8478295925878223]","[29.027387534636066, -2.8478295925878223]","[29.027387534636066, -2.8568132895823783]"
"[28.73992046903263, -2.8657969820534093]","[28.73992046903263, -2.8568132921957967]","[28.730937123232522, -2.8568132921957967]","[28.730937123232522, -2.8657969820534093]"
"[28.847720618633918, -2.8657969846401836]","[28.847720618633918, -2.8568132921957967]","[28.83873727283381, -2.8568132921957967]","[28.83873727283381, -2.8657969846401836]"
"[28.883654001834348, -2.865796985504595]","[28.883654001834348, -2.8568132921957967]","[28.87467065603424, -2.8568132921957967]","[28.87467065603424, -2.865796985504595]"
"[29.027387534636066, -2.8657969889730053]","[29.027387534636066, -2.8568132921957967]","[29.01840418883596, -2.8568132921957967]","[29.01840418883596, -2.8657969889730053]"
"[29.036370880436174, -2.8657969891903528]","[29.036370880436174, -2.8568132921957967]","[29.027387534636066, -2.8568132921957967]","[29.027387534636066, -2.8657969891903528]"
"[28.73992046903263, -2.8747806816613837]","[28.73992046903263, -2.865796991803771]","[28.730937123232522, -2.865796991803771]","[28.730937123232522, -2.8747806816613837]"
"[28.748903814832737, -2.874780681876578]","[28.748903814832737, -2.865796991803771]","[28.73992046903263, -2.865796991803771]","[28.73992046903263, -2.874780681876578]"
"[28.883654001834348, -2.8747806851125692]","[28.883654001834348, -2.865796991803771]","[28.87467065603424, -2.865796991803771]","[28.87467065603424, -2.8747806851125692]"
"[29.027387534636066, -2.8747806885809797]","[29.027387534636066, -2.865796991803771]","[29.01840418883596, -2.865796991803771]","[29.01840418883596, -2.8747806885809797]"
"[29.036370880436174, -2.874780688798327]","[29.036370880436174, -2.865796991803771]","[29.027387534636066, -2.865796991803771]","[29.027387534636066, -2.874780688798327]"
"[28.748903814832737, -2.8837643814845526]","[28.748903814832737, -2.8747806914117455]","[28.73992046903263, -2.8747806914117455]","[28.73992046903263, -2.8837643814845526]"
"[28.883654001834348, -2.8837643847205436]","[28.883654001834348, -2.8747806914117455]","[28.87467065603424, -2.8747806914117455]","[28.87467065603424, -2.8837643847205436]"
"[29.027387534636066, -2.883764388188954]","[29.027387534636066, -2.8747806914117455]","[29.01840418883596, -2.8747806914117455]","[29.01840418883596, -2.883764388188954]"
"[29.036370880436174, -2.8837643884063016]","[29.036370880436174, -2.8747806914117455]","[29.027387534636066, -2.8747806914117455]","[29.027387534636066, -2.8837643884063016]"
"[29.04535422623628, -2.9107154874476393]","[29.04535422623628, -2.9017317902356687]","[29.036370880436174, -2.9017317902356687]","[29.036370880436174, -2.9107154874476393]"
"[29.05433757203639, -2.910715487665122]","[29.05433757203639, -2.9017317902356687]","[29.04535422623628, -2.9017317902356687]","[29.04535422623628, -2.910715487665122]"
"[28.80280388963338, -2.91969918120903]","[28.80280388963338, -2.910715489843643]","[28.793820543833274, -2.910715489843643]","[28.793820543833274, -2.91969918120903]"
"[29.01840418883596, -2.9196991864035713]","[29.01840418883596, -2.910715489843643]","[29.00942084303585, -2.910715489843643]","[29.00942084303585, -2.9196991864035713]"
"[29.072304263636603, -2.919699187708262]","[29.072304263636603, -2.910715489843643]","[29.063320917836496, -2.910715489843643]","[29.063320917836496, -2.919699187708262]"
"[29.00942084303585, -2.928682885794333]","[29.00942084303585, -2.9196991894516175]","[29.000437497235744, -2.9196991894516175]","[29.000437497235744, -2.928682885794333]"
"[29.01840418883596, -2.9286828860115457]","[29.01840418883596, -2.9196991894516175]","[29.00942084303585, -2.9196991894516175]","[29.00942084303585, -2.9286828860115457]"
"[29.027387534636066, -2.928682886228826]","[29.027387534636066, -2.9196991894516175]","[29.01840418883596, -2.9196991894516175]","[29.01840418883596, -2.928682886228826]"
"[29.072304263636603, -2.9286828873162363]","[29.072304263636603, -2.9196991894516175]","[29.063320917836496, -2.9196991894516175]","[29.063320917836496, -2.9286828873162363]"
"[29.08128760943671, -2.9286828875339204]","[29.08128760943671, -2.9196991894516175]","[29.072304263636603, -2.9196991894516175]","[29.072304263636603, -2.9286828875339204]"
