"[29.063320917836467, -2.9736032042438945]","[29.063320917836467, -2.9646195065968923]","[29.05433757203636, -2.9646195065968923]","[29.05433757203636, -2.9736032042438945]"
"[29.108237646837004, -2.9736032053326507]","[29.108237646837004, -2.9646195065968923]","[29.099254301036897, -2.9646195065968923]","[29.099254301036897, -2.9736032053326507]"
"[29.12620433843722, -2.973603205768624]","[29.12620433843722, -2.9646195065968923]","[29.11722099263711, -2.9646195065968923]","[29.11722099263711, -2.973603205768624]"
"[29.099254301036897, -2.9825869069079896]","[29.099254301036897, -2.973603208390117]","[29.09027095523679, -2.973603208390117]","[29.09027095523679, -2.9825869069079896]"
"[29.108237646837004, -2.9825869071258753]","[29.108237646837004, -2.973603208390117]","[29.099254301036897, -2.973603208390117]","[29.099254301036897, -2.9825869071258753]"
"[29.11722099263711, -2.9825869073438285]","[29.11722099263711, -2.973603208390117]","[29.108237646837004, -2.973603208390117]","[29.108237646837004, -2.9825869073438285]"
"[29.12620433843722, -2.9825869075618487]","[29.12620433843722, -2.973603208390117]","[29.11722099263711, -2.973603208390117]","[29.11722099263711, -2.9825869075618487]"
"[29.11722099263711, -2.991570609137053]","[29.11722099263711, -2.9825869101833415]","[29.108237646837004, -2.9825869101833415]","[29.108237646837004, -2.991570609137053]"
"[29.12620433843722, -2.9915706093550734]","[29.12620433843722, -2.9825869101833415]","[29.11722099263711, -2.9825869101833415]","[29.11722099263711, -2.9915706093550734]"
"[29.135187684237327, -2.991570609573161]","[29.135187684237327, -2.9825869101833415]","[29.12620433843722, -2.9825869101833415]","[29.12620433843722, -2.991570609573161]"
"[29.108237646837004, -3.0005543107123245]","[29.108237646837004, -2.991570611976566]","[29.099254301036897, -2.991570611976566]","[29.099254301036897, -3.0005543107123245]"
"[29.108237646837004, -3.009538012505549]","[29.108237646837004, -3.0005543137697908]","[29.099254301036897, -3.0005543137697908]","[29.099254301036897, -3.009538012505549]"
"[29.12620433843722, -3.0095380129415226]","[29.12620433843722, -3.0005543137697908]","[29.11722099263711, -3.0005543137697908]","[29.11722099263711, -3.0095380129415226]"
"[29.135187684237327, -3.0095380131596103]","[29.135187684237327, -3.0005543137697908]","[29.12620433843722, -3.0005543137697908]","[29.12620433843722, -3.0095380131596103]"
"[29.144171030037434, -3.009538013377765]","[29.144171030037434, -3.0005543137697908]","[29.135187684237327, -3.0005543137697908]","[29.135187684237327, -3.009538013377765]"
"[29.11722099263711, -3.018521714516727]","[29.11722099263711, -3.0095380155630154]","[29.108237646837004, -3.0095380155630154]","[29.108237646837004, -3.018521714516727]"
"[29.12620433843722, -3.018521714734747]","[29.12620433843722, -3.0095380155630154]","[29.11722099263711, -3.0095380155630154]","[29.11722099263711, -3.018521714734747]"
"[29.144171030037434, -3.0185217151709898]","[29.144171030037434, -3.0095380155630154]","[29.135187684237327, -3.0095380155630154]","[29.135187684237327, -3.0185217151709898]"
"[29.11722099263711, -3.0275054163099515]","[29.11722099263711, -3.01852171735624]","[29.108237646837004, -3.01852171735624]","[29.108237646837004, -3.0275054163099515]"
"[29.12620433843722, -3.027505416527972]","[29.12620433843722, -3.01852171735624]","[29.11722099263711, -3.01852171735624]","[29.11722099263711, -3.027505416527972]"
"[29.19807110483808, -3.0275054182745573]","[29.19807110483808, -3.01852171735624]","[29.18908775903797, -3.01852171735624]","[29.18908775903797, -3.0275054182745573]"
"[29.099254301036897, -3.036489117667337]","[29.099254301036897, -3.0275054191494646]","[29.09027095523679, -3.0275054191494646]","[29.09027095523679, -3.036489117667337]"
"[29.108237646837004, -3.036489117885223]","[29.108237646837004, -3.0275054191494646]","[29.099254301036897, -3.0275054191494646]","[29.099254301036897, -3.036489117885223]"
"[29.11722099263711, -3.036489118103176]","[29.11722099263711, -3.0275054191494646]","[29.108237646837004, -3.0275054191494646]","[29.108237646837004, -3.036489118103176]"
"[29.135187684237327, -3.036489118539284]","[29.135187684237327, -3.0275054191494646]","[29.12620433843722, -3.0275054191494646]","[29.12620433843722, -3.036489118539284]"
"[29.144171030037434, -3.036489118757439]","[29.144171030037434, -3.0275054191494646]","[29.135187684237327, -3.0275054191494646]","[29.135187684237327, -3.036489118757439]"
"[29.18908775903797, -3.036489119849223]","[29.18908775903797, -3.0275054191494646]","[29.180104413237864, -3.0275054191494646]","[29.180104413237864, -3.036489119849223]"
"[29.19807110483808, -3.036489120067782]","[29.19807110483808, -3.0275054191494646]","[29.18908775903797, -3.0275054191494646]","[29.18908775903797, -3.036489120067782]"
"[29.216037796438293, -3.036489120505101]","[29.216037796438293, -3.0275054191494646]","[29.207054450638186, -3.0275054191494646]","[29.207054450638186, -3.036489120505101]"
"[29.108237646837004, -3.0454728196784475]","[29.108237646837004, -3.036489120942689]","[29.099254301036897, -3.036489120942689]","[29.099254301036897, -3.0454728196784475]"
"[29.11722099263711, -3.0454728198964007]","[29.11722099263711, -3.036489120942689]","[29.108237646837004, -3.036489120942689]","[29.108237646837004, -3.0454728198964007]"
"[29.12620433843722, -3.045472820114421]","[29.12620433843722, -3.036489120942689]","[29.11722099263711, -3.036489120942689]","[29.11722099263711, -3.045472820114421]"
"[29.135187684237327, -3.0454728203325088]","[29.135187684237327, -3.036489120942689]","[29.12620433843722, -3.036489120942689]","[29.12620433843722, -3.0454728203325088]"
"[29.144171030037434, -3.0454728205506636]","[29.144171030037434, -3.036489120942689]","[29.135187684237327, -3.036489120942689]","[29.135187684237327, -3.0454728205506636]"
"[29.15315437583754, -3.045472820768886]","[29.15315437583754, -3.036489120942689]","[29.144171030037434, -3.036489120942689]","[29.144171030037434, -3.045472820768886]"
"[29.18908775903797, -3.0454728216424476]","[29.18908775903797, -3.036489120942689]","[29.180104413237864, -3.036489120942689]","[29.180104413237864, -3.0454728216424476]"
"[29.19807110483808, -3.0454728218610065]","[29.19807110483808, -3.036489120942689]","[29.18908775903797, -3.036489120942689]","[29.18908775903797, -3.0454728218610065]"
"[29.207054450638186, -3.045472822079632]","[29.207054450638186, -3.036489120942689]","[29.19807110483808, -3.036489120942689]","[29.19807110483808, -3.045472822079632]"
"[29.216037796438293, -3.0454728222983256]","[29.216037796438293, -3.036489120942689]","[29.207054450638186, -3.036489120942689]","[29.207054450638186, -3.0454728222983256]"
"[29.2250211422384, -3.045472822517086]","[29.2250211422384, -3.036489120942689]","[29.216037796438293, -3.036489120942689]","[29.216037796438293, -3.045472822517086]"
"[29.12620433843722, -3.0544565219076456]","[29.12620433843722, -3.045472822735914]","[29.11722099263711, -3.045472822735914]","[29.11722099263711, -3.0544565219076456]"
"[29.135187684237327, -3.0544565221257334]","[29.135187684237327, -3.045472822735914]","[29.12620433843722, -3.045472822735914]","[29.12620433843722, -3.0544565221257334]"
