"[26.58391747700696, -0.736661152098136]","[26.58391747700696, -0.727677511941384]","[26.574934131206852, -0.727677511941384]","[26.574934131206852, -0.736661152098136]"
"[26.592900822807067, -0.7456447994606022]","[26.592900822807067, -0.7366611591048036]","[26.58391747700696, -0.7366611591048036]","[26.58391747700696, -0.7456447994606022]"
"[26.58391747700696, -0.7546284464249752]","[26.58391747700696, -0.7456448062682232]","[26.574934131206852, -0.7456448062682232]","[26.574934131206852, -0.7546284464249752]"
