"[28.937554076634978, -1.4194238825914547]","[28.937554076634978, -1.4104401879840212]","[28.92857073083487, -1.4104401879840212]","[28.92857073083487, -1.4194238825914547]"
"[28.883654001834334, -1.5631630054153698]","[28.883654001834334, -1.5541793121065717]","[28.874670656034226, -1.5541793121065717]","[28.874670656034226, -1.5631630054153698]"
"[28.89263734763444, -1.5631630056316408]","[28.89263734763444, -1.5541793121065717]","[28.883654001834334, -1.5541793121065717]","[28.883654001834334, -1.5631630056316408]"
"[28.883654001834334, -1.5721467006730292]","[28.883654001834334, -1.563163007364231]","[28.874670656034226, -1.563163007364231]","[28.874670656034226, -1.5721467006730292]"
"[28.89263734763444, -1.5721467008893002]","[28.89263734763444, -1.563163007364231]","[28.883654001834334, -1.563163007364231]","[28.883654001834334, -1.5721467008893002]"
