"[29.562983345800106, 3.15001629014674]","[29.562983345800106, 3.159]","[29.554, 3.159]","[29.554, 3.15001629014674]"
"[29.562983345800106, 3.1410325787425535]","[29.562983345800106, 3.1500162885958134]","[29.554, 3.1500162885958134]","[29.554, 3.1410325787425535]"
"[29.571966691600213, 3.1410325785211946]","[29.571966691600213, 3.1500162885958134]","[29.562983345800106, 3.1500162885958134]","[29.562983345800106, 3.1410325785211946]"
"[29.598916729000535, 3.1410325778567136]","[29.598916729000535, 3.1500162885958134]","[29.589933383200428, 3.1500162885958134]","[29.589933383200428, 3.1410325778567136]"
"[29.607900074800643, 3.1410325776350856]","[29.607900074800643, 3.1500162885958134]","[29.598916729000535, 3.1500162885958134]","[29.598916729000535, 3.1410325776350856]"
"[29.562983345800106, 3.132048867338367]","[29.562983345800106, 3.141032577191627]","[29.554, 3.141032577191627]","[29.554, 3.132048867338367]"
"[29.571966691600213, 3.132048867117008]","[29.571966691600213, 3.141032577191627]","[29.562983345800106, 3.141032577191627]","[29.562983345800106, 3.132048867117008]"
"[29.58095003740032, 3.1320488668955817]","[29.58095003740032, 3.141032577191627]","[29.571966691600213, 3.141032577191627]","[29.571966691600213, 3.1320488668955817]"
"[29.598916729000535, 3.1320488664525272]","[29.598916729000535, 3.141032577191627]","[29.589933383200428, 3.141032577191627]","[29.589933383200428, 3.1320488664525272]"
"[29.562983345800106, 3.1230651559341807]","[29.562983345800106, 3.1320488657874406]","[29.554, 3.1320488657874406]","[29.554, 3.1230651559341807]"
"[29.571966691600213, 3.1230651557128217]","[29.571966691600213, 3.1320488657874406]","[29.562983345800106, 3.1320488657874406]","[29.562983345800106, 3.1230651557128217]"
"[29.598916729000535, 3.123065155048341]","[29.598916729000535, 3.1320488657874406]","[29.589933383200428, 3.1320488657874406]","[29.589933383200428, 3.123065155048341]"
"[29.607900074800643, 3.1230651548267128]","[29.607900074800643, 3.1320488657874406]","[29.598916729000535, 3.1320488657874406]","[29.598916729000535, 3.1230651548267128]"
"[29.61688342060075, 3.123065154605017]","[29.61688342060075, 3.1320488657874406]","[29.607900074800643, 3.1320488657874406]","[29.607900074800643, 3.123065154605017]"
"[29.562983345800106, 3.1140814445299942]","[29.562983345800106, 3.123065154383254]","[29.554, 3.123065154383254]","[29.554, 3.1140814445299942]"
"[29.571966691600213, 3.1140814443086353]","[29.571966691600213, 3.123065154383254]","[29.562983345800106, 3.123065154383254]","[29.562983345800106, 3.1140814443086353]"
"[29.58095003740032, 3.114081444087209]","[29.58095003740032, 3.123065154383254]","[29.571966691600213, 3.123065154383254]","[29.571966691600213, 3.114081444087209]"
"[29.589933383200428, 3.1140814438657154]","[29.589933383200428, 3.123065154383254]","[29.58095003740032, 3.123065154383254]","[29.58095003740032, 3.1140814438657154]"
"[29.598916729000535, 3.1140814436441544]","[29.598916729000535, 3.123065154383254]","[29.589933383200428, 3.123065154383254]","[29.589933383200428, 3.1140814436441544]"
"[29.607900074800643, 3.1140814434225264]","[29.607900074800643, 3.123065154383254]","[29.598916729000535, 3.123065154383254]","[29.598916729000535, 3.1140814434225264]"
"[29.562983345800106, 3.105097733125808]","[29.562983345800106, 3.1140814429790677]","[29.554, 3.1140814429790677]","[29.554, 3.105097733125808]"
"[29.571966691600213, 3.105097732904449]","[29.571966691600213, 3.1140814429790677]","[29.562983345800106, 3.1140814429790677]","[29.562983345800106, 3.105097732904449]"
"[29.58095003740032, 3.1050977326830225]","[29.58095003740032, 3.1140814429790677]","[29.571966691600213, 3.1140814429790677]","[29.571966691600213, 3.1050977326830225]"
"[29.589933383200428, 3.105097732461529]","[29.589933383200428, 3.1140814429790677]","[29.58095003740032, 3.1140814429790677]","[29.58095003740032, 3.105097732461529]"
"[29.598916729000535, 3.105097732239968]","[29.598916729000535, 3.1140814429790677]","[29.589933383200428, 3.1140814429790677]","[29.589933383200428, 3.105097732239968]"
"[29.589933383200428, 3.0961140210573426]","[29.589933383200428, 3.1050977315748813]","[29.58095003740032, 3.1050977315748813]","[29.58095003740032, 3.0961140210573426]"
