"[26.628834206007497, -2.5693335412492213]","[26.628834206007497, -2.560349900096563]","[26.61985086020739, -2.560349900096563]","[26.61985086020739, -2.5693335412492213]"
"[26.64680089760771, -2.587300835974894]","[26.64680089760771, -2.578317194423402]","[26.637817551807604, -2.578317194423402]","[26.637817551807604, -2.587300835974894]"
"[26.65578424340782, -2.5873008361744114]","[26.65578424340782, -2.578317194423402]","[26.64680089760771, -2.578317194423402]","[26.64680089760771, -2.5873008361744114]"
"[26.64680089760771, -2.5962844831383136]","[26.64680089760771, -2.5873008415868215]","[26.637817551807604, -2.5873008415868215]","[26.637817551807604, -2.5962844831383136]"
"[26.65578424340782, -2.596284483337831]","[26.65578424340782, -2.5873008415868215]","[26.64680089760771, -2.5873008415868215]","[26.64680089760771, -2.596284483337831]"
"[26.664767589207926, -2.596284483537416]","[26.664767589207926, -2.5873008415868215]","[26.65578424340782, -2.5873008415868215]","[26.65578424340782, -2.596284483537416]"
"[26.65578424340782, -2.6052681305012504]","[26.65578424340782, -2.596284488750241]","[26.64680089760771, -2.596284488750241]","[26.64680089760771, -2.6052681305012504]"
