"[29.16213772163765, -0.37731528400603803]","[29.16213772163765, -0.36833158396155175]","[29.15315437583754, -0.36833158396155175]","[29.15315437583754, -0.37731528400603803]"
"[29.081287609436682, -0.41325008921675305]","[29.081287609436682, -0.4042663911344502]","[29.072304263636575, -0.4042663911344502]","[29.072304263636575, -0.41325008921675305]"
"[29.180104413237864, -0.4941034077547388]","[29.180104413237864, -0.48511970727347165]","[29.171121067437756, -0.48511970727347165]","[29.171121067437756, -0.4941034077547388]"
"[29.18908775903797, -0.49410340797323016]","[29.18908775903797, -0.48511970727347165]","[29.180104413237864, -0.48511970727347165]","[29.180104413237864, -0.49410340797323016]"
