"[28.919587385034777, -1.9135258889714863]","[28.919587385034777, -1.9045421947972003]","[28.91060403923467, -1.9045421947972003]","[28.91060403923467, -1.9135258889714863]"
"[28.892637347634455, -1.922509587930244]","[28.892637347634455, -1.913525894405175]","[28.883654001834348, -1.913525894405175]","[28.883654001834348, -1.922509587930244]"
"[28.901620693434563, -1.9225095881465823]","[28.901620693434563, -1.913525894405175]","[28.892637347634455, -1.913525894405175]","[28.892637347634455, -1.9225095881465823]"
"[28.7039870858322, -2.0033628798744543]","[28.7039870858322, -1.9943791908769466]","[28.695003740032092, -1.9943791908769466]","[28.695003740032092, -2.0033628798744543]"
"[28.7039870858322, -2.0123465794824287]","[28.7039870858322, -2.003362890484921]","[28.695003740032092, -2.003362890484921]","[28.695003740032092, -2.0123465794824287]"
"[28.83873727283381, -2.0303139819293223]","[28.83873727283381, -2.02133028970087]","[28.829753927033703, -2.02133028970087]","[28.829753927033703, -2.0303139819293223]"
"[28.856703964434026, -2.084216180009105]","[28.856703964434026, -2.0752324873487162]","[28.847720618633918, -2.0752324873487162]","[28.847720618633918, -2.084216180009105]"
"[28.77585385223306, -2.138118375715357]","[28.77585385223306, -2.1291346849965627]","[28.76687050643295, -2.1291346849965627]","[28.76687050643295, -2.138118375715357]"
"[28.784837198033166, -2.1381183759308207]","[28.784837198033166, -2.1291346849965627]","[28.77585385223306, -2.1291346849965627]","[28.77585385223306, -2.1381183759308207]"
