Mininum Longitude,Minimum Latitude,Maximum Longitude,Maximum Latitude,Percent Vegetation Loss,Percent Bare Initial,Percent Significant VH Values,Average NIR/G,Average SWIR1/B
-111.20647543264178,34.87856934514592,-111.20422959619175,34.88081647081126,0,52.04135819222433,99.96628216960973,0.382068598442479,0.5747222833134377
-111.20422959619175,34.87856934519802,-111.20198375974172,34.88081647081126,0,79.00254989271303,99.9832136415697,0.3787189073955684,0.5725853544453526
-111.20198375974172,34.87856934525011,-111.19973792329169,34.88081647081126,0,24.51584178658256,96.43374226751146,0.41020965926427466,0.6036399562720139
-111.19973792329169,34.8785693453022,-111.19749208684166,34.88081647081126,0,33.98353620950802,99.93243102838977,0.3994341690652513,0.6023319228963472
-111.19749208684166,34.8785693453543,-111.19524625039163,34.88081647081126,0,91.9813955160963,99.97757749481643,0.3926924130583425,0.5975952481618879
-111.19524625039163,34.87856934540639,-111.1930004139416,34.88081647081126,0,91.66789323575438,100.01708100788191,0.3868499541681406,0.5852907798173596
-111.1930004139416,34.87856934545848,-111.19075457749157,34.88081647081126,0,91.98139978078133,98.7135282445553,0.3892271241538437,0.590562630901466
-111.19075457749157,34.87856934551057,-111.18850874104155,34.88081647081126,0,99.9443788171572,99.97758444795066,0.3909275684038261,0.6137677377801428
-111.18850874104155,34.87856934556266,-111.18626290459152,34.88081647081126,0,99.69358000970855,100.01708796294379,0.3733619978226752,0.5829772438340983
-111.18626290459152,34.87856934561475,-111.18401706814149,34.88081647081126,0,100.00708474300824,99.93244492853145,0.3614853870745822,0.5724057784211832
-111.18401706814149,34.87856934566683,-111.18177123169146,34.88081647081126,0,99.69358463156838,100.01144964407564,0.36009037411031963,0.5707041216013758
-111.18177123169146,34.87856934571892,-111.17952539524143,34.88081647081126,0,100.00708937947016,99.97759371805711,0.3569888784357396,0.5712707773338814
-111.17952539524143,34.878569345771005,-111.1772795587914,34.88081647081126,0,99.69358925289788,99.92680877556784,0.36583096957938355,0.5778039266476757
-111.1772795587914,34.87856934582309,-111.17503372234137,34.88081647081126,0,99.94439271691587,100.01145659870727,0.37004009778412494,0.5870002201174946
-111.17503372234137,34.87856934587517,-111.17278788589134,34.88081647081126,0,99.69359387463103,99.98324377111312,0.3715132821852571,0.5928509232198232
-111.17278788589134,34.878569345927254,-111.17054204944131,34.88081647081126,0,99.94439735008292,99.9268157245249,0.3545682984977288,0.5877941564094098
-111.17054204944131,34.878569345979336,-111.16829621299128,34.88081647081126,0,99.69359849614452,100.01146355285788,0.36259077634099224,0.5912227813136127
-111.16829621299128,34.87856934603141,-111.16605037654125,34.88081647081126,0,99.88170269777625,98.75869772055067,0.3660440767010135,0.5965954836569904
-111.16605037654125,34.87856934608349,-111.16380454009122,34.88081647081126,0,99.69360311672317,99.96632387890139,0.3604241388078115,0.5878937244667051
-111.16380454009122,34.87856934613557,-111.16155870364119,34.88081647081126,0,99.88170732820613,99.9719692982691,0.3531079683349787,0.5835226828174412
-111.16155870364119,34.878569346187646,-111.15931286719116,34.88081647081126,0,99.69360773787518,99.97197161514832,0.34755231023347094,0.5852312601788385
-111.15931286719116,34.87856934623972,-111.15706703074113,34.88081647081126,0,99.88171195728208,99.96068787177956,0.33775053105563574,0.5724543968037715
-111.15706703074113,34.87856934629179,-111.1548211942911,34.88081647081126,0,99.69361235818263,99.97761935107143,0.3289080313984928,0.5629062558040749
-111.1548211942911,34.878569346343866,-111.15257535784107,34.88081647081126,0,99.88171658711543,99.97197856554558,0.32185223196454815,0.5620443997719083
-111.15257535784107,34.87856934639594,-111.15032952139104,34.88081647081126,0,99.69361697891118,99.96633777901067,0.324237328619895,0.5668011477437159
-111.15032952139104,34.87856934644801,-111.14808368494101,34.88081647081126,0,99.88172121538068,97.1279094180624,0.3251284081856492,0.5689257254759039
-111.14808368494101,34.87856934650008,-111.14583784849098,34.88081647081126,0,99.69362159910175,100.01148672947704,0.3244512365924676,0.5694393199504842
-111.14583784849098,34.87856934655215,-111.14359201204095,34.88081647081126,0,99.88172584462757,99.92684351274076,0.31728506355414965,0.5622978647042286
-111.14359201204095,34.878569346604216,-111.14134617559093,34.88081647081126,0,99.69362621939271,99.97763310634983,0.31939293062861,0.5581892603935337
-111.14134617559093,34.878569346656285,-111.1391003391409,34.88081647081126,0,99.88173047352085,98.95624012301325,0.3244994772645477,0.5627602929673907
-111.1391003391409,34.878569346708346,-111.13685450269087,34.88081647081126,0,99.69363083842379,99.54876498647477,0.33071451564273613,0.5653014423914706
-111.13685450269087,34.878569346760415,-111.13460866624084,34.88081647081126,0,100.00713573109823,100.01714127498991,0.33028794910962805,0.561992150614055
-111.13460866624084,34.878569346812476,-111.13236282979081,34.88081647081126,0,99.69363545883107,94.59984392155289,0.3385693958911181,0.5678339281803048
-111.20647543264178,34.876322221147134,-111.20422959619175,34.878569346812476,0,57.746642913919565,97.08827328574675,0.39432056424023826,0.5815200328118997
-111.20422959619175,34.87632222119923,-111.20198375974172,34.878569346812476,0,50.222819472007885,99.03512865875149,0.4101715382781348,0.6155668926070661
-111.20198375974172,34.87632222125133,-111.19973792329169,34.878569346812476,0,54.235894634872494,96.10077558866969,0.421309292467675,0.629226115648169
-111.19973792329169,34.87632222130342,-111.19749208684166,34.878569346812476,0,89.97504845192397,99.91545535680432,0.41727286477061376,0.6281892168624728
-111.19749208684166,34.876322221355515,-111.19524625039163,34.878569346812476,0,83.95571801041811,99.96624500701238,0.40511661015018935,0.6179071050527007
