Mininum Longitude,Minimum Latitude,Maximum Longitude,Maximum Latitude,Percent Vegetation Loss,Percent Bare Initial,Percent Significant VH Values,Average NIR/G,Average SWIR1/B,NASA Elev,GEDI Elev,Elev Loss,GEDI Qual. Flag,B5 Value,B6 Value,Status
-115.56300989987233,34.96609121735541,-115.56268055130198,34.96636110899598,0,96.11715433506023,0,0.20995813584111647,0.48719483653914203,1490.1479099678456,-999,-999,-999,0.09591218122305015,0.11137756385291232,Fail
-115.56268055130198,34.96609121735541,-115.56235120273163,34.96636110899598,0,99.67704894151666,3.844708764688528,0.24697787921484582,0.41365000923905937,1492.5384615384614,-999,-999,-999,0.13724534050636353,0.17721045266393678,Fail
-115.56235120273163,34.96609121735541,-115.56202185416129,34.96636110899598,0,99.67704894070395,69.52495116416554,0.16389692584440824,0.28431250351411164,1496.4487179487182,-999,-999,-999,0.12470771712505548,0.1430545035522084,Pass
-115.56202185416129,34.96609121735541,-115.56169250559094,34.96636110899598,0,14.239578420192323,99.00095530480633,0.16173263833776677,0.2949992424153863,1502.4662379421225,-999,-999,-999,0.0828592237627622,0.0893286388475918,Pass
-115.56169250559094,34.96609121735541,-115.5613631570206,34.96636110899598,0,0,98.03977708350186,0.12064326200427196,0.262944208966039,1510.6881028938906,-999,-999,-999,0.10582186638638139,0.10940417709649568,Fail
-115.5613631570206,34.96609121735541,-115.56103380845025,34.96636110899598,0,0,58.31123799677712,0.17336699044512627,0.3642980915155287,1511.0128617363346,-999,-999,-999,0.08107274374173533,0.09337177351117132,Fail
-115.56103380845025,34.96609121735541,-115.5607044598799,34.96636110899598,0,0,8.330202323249324,0.16846782791881632,0.323381980253632,1503.797427652733,-999,-999,-999,0.08198798130242488,0.09775977533979292,Fail
-115.5607044598799,34.96609121735541,-115.56037511130955,34.96636110899598,0,0,8.330202323502133,0.11452115325915331,0.22781822232198193,1487.8713826366557,-999,-999,-999,0.08283429277630952,0.09752820403530046,Fail
-115.56037511130955,34.96609121735541,-115.56004576273921,34.96636110899598,39.285714285714285,39.15884065516398,0.32039239705384404,0.10747356596605091,0.30374184613736915,1492.9003215434082,-999,-999,-999,0.18601435869932176,0.20768484271341756,Fail
-115.56004576273921,34.96609121735541,-115.55971641416886,34.96636110899598,100,99.67704894133482,0,0.15139780406396375,0.2850989549749941,1503.1125401929262,-999,-999,-999,0.19175417100389797,0.21799502896670345,Fail
-115.55971641416886,34.96609121735541,-115.55938706559851,34.96636110899598,100,99.67704893859106,0,0.1536102066087351,0.3669272038742228,1494.5128205128203,-999,-999,-999,0.12329582067452058,0.1283876201635005,Fail
-115.55938706559851,34.96609121735541,-115.55905771702817,34.96636110899598,33.33333333333333,32.03905144475727,0,0.23276232684843273,0.4037044813613527,1492.9487179487182,-999,-999,-999,0.16014598185418116,0.1960742762521915,Fail
-115.55905771702817,34.96609121735541,-115.55872836845782,34.96636110899598,0,0,84.58334096719614,0.259507179180386,0.4000581928674437,1505.3376205787783,-999,-999,-999,0.17816553243155617,0.203467965560052,Fail
-115.55872836845782,34.96609121735541,-115.55839901988747,34.96636110899598,0,0,99.64173906303857,0.22132005679109368,0.3316760672512183,1512.8874598070738,-999,-999,-999,0.20452411726740014,0.22962604467891806,Fail
-115.55839901988747,34.96609121735541,-115.55806967131713,34.96636110899598,0,0,63.43751531324238,0.11771948694579377,0.2690730876519698,1522.887459807074,-999,-999,-999,0.17975707261125376,0.1969627033667549,Fail
-115.55806967131713,34.96609121735541,-115.55774032274678,34.96636110899598,0,0,61.19477682900244,0.08702382981471189,0.22094015124490812,1527.273311897106,-999,-999,-999,0.10300929555430625,0.10535737404074423,Fail
-115.55774032274678,34.96609121735541,-115.55741097417643,34.96636110899598,0,0,99.64174009974103,0.03996024763942435,0.15008091932423245,1530.4855305466237,-999,-999,-999,0.08229839095061231,0.09121093489349463,Fail
-115.55741097417643,34.96609121735541,-115.55708162560609,34.96636110899598,0,0,92.59310736258088,0.09674143818659667,0.24232340763149823,1554.096463022508,-999,-999,-999,0.09577226107639653,0.10822790466970011,Fail
-115.55708162560609,34.96609121735541,-115.55675227703574,34.96636110899598,0,0,99.96213145914432,0.11614448890618562,0.14105230894095278,1588.0032154340834,-999,-999,-999,0.2062573733811195,0.1902062542354449,Fail
-115.55675227703574,34.96609121735541,-115.5564229284654,34.96636110899598,0,0,99.64173906273399,0.004135510323165639,0.002092605534235801,1600.1511254019294,-999,-999,-999,0.10985707376643394,0.1041834435135222,Fail
-115.5564229284654,34.96609121735541,-115.55609357989505,34.96636110899598,0,0,99.64173906211691,-0.012418870823233787,0.02846697553201104,1623.8173076923078,1425.419677734375,-182.9876708984375,-999,0.08963826277152519,0.08444774917467614,Fail
-115.55609357989505,34.96609121735541,-115.5557642313247,34.96636110899598,0,0,99.32134666623705,0.0360317365563657,0.11826172575365335,1663.6378205128208,1425.419677734375,-182.9876708984375,-999,0.07239096644184281,0.08043596552264305,Fail
-115.5557642313247,34.96609121735541,-115.55543488275435,34.96636110899598,0,0,99.64173906046432,0.05738392657320323,0.1391820575820395,1706.3022508038584,1425.675048828125,-320.7315673828125,-999,0.05580546611087499,0.06541575753755892,Fail
-115.55543488275435,34.96609121735541,-115.55510553418401,34.96636110899598,0,0,60.23359134165951,0.07491381136153073,0.2906190394614981,1744.6977491961418,-999,-999,-999,0.0783347254948409,0.08332958044873556,Fail
-115.55510553418401,34.96609121735541,-115.55477618561366,34.96636110899598,0,0,0,0.20079407574984004,0.40439550532863816,1754.1382636655944,-999,-999,-999,0.20498076198288262,0.2309112179642304,Fail
-115.55477618561366,34.96609121735541,-115.55444683704332,34.96636110899598,0,99.67704894964,0,0.23741070775526132,0.39523067467697487,1753.9389067524114,-999,-999,-999,0.3223461520213347,0.3710942254998745,Fail
-115.55444683704332,34.96609121735541,-115.55411748847297,34.96636110899598,0,99.67704893984529,0,0.23737331524055263,0.4311299614466266,1741.926045016077,1691.54345703125,-41.8673095703125,1,0.25513794711548415,0.2873377820111548,Fail
-115.55411748847297,34.96609121735541,-115.55378813990262,34.96636110899598,0,96.11715433571182,0,0.23751544132616112,0.41976758302146294,1731.6645161290323,1691.54345703125,-41.8673095703125,1,0.25846714473878724,0.2884695501759266,Fail
-115.55378813990262,34.96609121735541,-115.55345879133228,34.96636110899598,0,99.67704894050384,0,0.29904647211163277,0.5096849600027502,1712.655948553055,1659.41015625,-27.0020751953125,1,0.15875691450964602,0.20429694504024898,Fail
-115.55345879133228,34.96609121735541,-115.55312944276193,34.96636110899598,0,99.67704894217965,0,0.3033162696946216,0.4285571534310998,1675.3910256410259,1659.41015625,-27.0020751953125,1,0.14548923429760519,0.17945546481961985,Fail
